key,tangram_A,tangram_B,ori_pre,ori_post,controlled_thread,ada_pre_sim,ada_post_sim,clip_pre_sim,clip_post_sim,sbert_pre_sim,sbert_post_sim,pre_sim,post_sim,gt,eq,lt,human_judgement,ada_diff,clip_diff,sbert_diff
4zdxXGnJJGTT8KnwG-page7-39-page7-35,page7-39.svg,page7-35.svg,a small steamboat or tugboat with a fin | it's a boat with a big center section.,"a boat with a large back and narrow front, small roof | a boat.",False,0.8437114357948303,0.8927250504493713,0.44554707407951355,0.7707244157791138,0.5434473752975464,0.654707670211792,0.8335795402526855,0.8923295736312866,0.0,0.0,1.0,-1.0,-0.049013614654541016,-0.3251773416996002,-0.1112602949142456
4zdxXGnJJGTT8KnwG-page4-135-page7-197,page4-135.svg,page7-197.svg,a tower with an arrow pointing at the top. | a narrow fountain with a diamond on top,a arrow pointed down on a tower. | delicate narrow fountain with a diamond on top,True,0.8482523560523987,0.8218545317649841,0.44816315174102783,0.35593312978744507,0.3282524645328522,0.2287067472934723,0.7786730527877808,0.7969347834587097,1.0,0.0,0.0,1.0,0.02639782428741455,0.09223002195358276,0.09954571723937988
4zdxXGnJJGTT8KnwG-page2-134-page7-209,page2-134.svg,page7-209.svg,its a mortar bowl. | a large wide cannon pointing into the sky,"a mortar bowl. | a wide fat cannon on an angle, pointed upward",True,0.8119657039642334,0.821026086807251,0.2675098776817322,0.3410007059574127,0.1500793844461441,0.19626285135746002,0.7815182209014893,0.7603062987327576,0.0,1.0,0.0,0.0,-0.009060382843017578,-0.07349082827568054,-0.04618346691131592
4zdxXGnJJGTT8KnwG-page1-38-page5-217,page1-38.svg,page5-217.svg,a wide man in a coolie hat | a roof of a house with a squared top.,"very wide fat man, with a conical triangualar rice paddy type of hat | a ornament. squared top.",True,0.8051502108573914,0.8014976382255554,0.22437317669391632,0.1484154611825943,0.06601090729236603,0.23107321560382843,0.7849341630935669,0.7746824026107788,0.0,1.0,0.0,0.0,0.0036525726318359375,0.07595771551132202,-0.1650623083114624
4zdxXGnJJGTT8KnwG-page1-125-page3-8,page1-125.svg,page3-8.svg,a basic looking fence. | two small mountains but upside down,bowtie or fang. | bowtie or fangs,False,0.778511106967926,0.9747845530509949,0.13403844833374023,0.8699058294296265,0.15485119819641113,0.7587934732437134,0.7649027705192566,0.9999983310699463,0.0,0.0,1.0,-1.0,-0.19627344608306885,-0.7358673810958862,-0.6039422750473022
4zdxXGnJJGTT8KnwG-page7-146-page4-20,page7-146.svg,page4-20.svg,a person in a boat facing front in perfect symmetry. | an old man doing tai chi exercises,a person sitting in a boat facing forward in perfect symmetry. | a man doing tai chi type exercises or poses,True,0.7981669306755066,0.8209061622619629,0.11005167663097382,0.1953740417957306,0.045341555029153824,0.16806720197200775,0.7466735243797302,0.8061426877975464,0.0,1.0,0.0,0.0,-0.0227392315864563,-0.08532236516475677,-0.12272564694285393
4zdxXGnJJGTT8KnwG-page8-204-page7-34,page8-204.svg,page7-34.svg,an elegant swan looking back at its tail | a lizard with it head above it flat body.,a bird or swan looking back at it's own feathers | a lizard with it head above it flat body.,False,0.8147796988487244,0.8118987679481506,0.21814298629760742,0.2958958148956299,0.28022339940071106,0.28136324882507324,0.7781471014022827,0.7756181359291077,0.0,1.0,0.0,0.0,0.0028809309005737305,-0.07775282859802246,-0.0011398494243621826
4zdxXGnJJGTT8KnwG-page3-122-page5-220,page3-122.svg,page5-220.svg,a rocket with a downward facing arrow. | a large fox's head with two pointy ears,"a rocket with an arrow pointing downward. | a fox's head, wide with pointy ears",False,0.796086847782135,0.7979050874710083,0.247484490275383,0.24038027226924896,0.152102530002594,0.13822230696678162,0.7908759713172913,0.7868567705154419,0.0,1.0,0.0,0.0,-0.001818239688873291,0.007104218006134033,0.013880223035812378
4zdxXGnJJGTT8KnwG-page1-116-page1-116,page1-116.svg,page1-116.svg,a tall outdoor lamp with a heavy base and wide shade | a chimney chute.,a chimney with a square base | a chimney with squared base,False,0.8084625601768494,0.9887529015541077,0.13047575950622559,0.9753351807594299,0.134847030043602,0.9595292806625366,0.7742313742637634,0.9999989867210388,0.0,0.0,1.0,-1.0,-0.1802903413772583,-0.8448594212532043,-0.8246822506189346
4zdxXGnJJGTT8KnwG-page9-31-page1-79,page9-31.svg,page1-79.svg,a birdhouse outdoors on a pedestal | a double layer rocket/birdhouse.,"birdhouse on top of a pedestal, triangle bottom | double layer birdhouse",True,0.8590428233146667,0.8773912191390991,0.6906367540359497,0.7514933943748474,0.4673053026199341,0.6227190494537354,0.8533011078834534,0.8706637024879456,0.0,0.0,1.0,-1.0,-0.018348395824432373,-0.060856640338897705,-0.15541374683380127
vQLPnPiD2shT2ZW2q-page1-85-page7-185,page1-85.svg,page7-185.svg,an arrow pointing upwards | an upside down ladle spoon,arrow pointing upwards | a hat with a bit on the right side,True,0.8239516615867615,0.8160762786865234,0.20237967371940613,0.10016811639070511,0.3200698792934418,0.2652026414871216,0.8006722927093506,0.809824526309967,1.0,0.0,0.0,1.0,0.007875382900238037,0.10221155732870102,0.05486723780632019
vQLPnPiD2shT2ZW2q-page4-30-page4-59,page4-30.svg,page4-59.svg,i person sitting with leg out to the left | a person facing the left pushing something,person sitting looking to the left | person facing the right pushing something,True,0.8665235042572021,0.8528900742530823,0.24466942250728607,0.34655794501304626,0.434134304523468,0.48741525411605835,0.8687355518341064,0.860346794128418,1.0,0.0,0.0,1.0,0.013633430004119873,-0.10188852250576019,-0.05328094959259033
vQLPnPiD2shT2ZW2q-page5-134-page3-8,page5-134.svg,page3-8.svg,buntin | a bat,a table no legs | two triangles facing downwards,False,0.8086022734642029,0.7949944138526917,0.1625167280435562,0.14193452894687653,0.10229332000017166,0.20282669365406036,0.8249679207801819,0.7768185138702393,1.0,0.0,0.0,1.0,0.01360785961151123,0.020582199096679688,-0.1005333736538887
vQLPnPiD2shT2ZW2q-page4-96-page1-178,page4-96.svg,page1-178.svg,a tap | crocadile jaw or beak pointing  to the right,smoking pipe | crocadile head,True,0.765534520149231,0.7662511467933655,0.23313148319721222,-0.01988302357494831,0.287710577249527,0.18484078347682953,0.7732675075531006,0.7663114070892334,0.0,1.0,0.0,0.0,-0.0007166266441345215,0.25301450677216053,0.10286979377269745
vQLPnPiD2shT2ZW2q-page4-103-page4-103,page4-103.svg,page4-103.svg,an egg cup | a face,egg cup | egg cup,False,0.8131894469261169,0.999996542930603,0.21218575537204742,1.0,0.39176881313323975,1.0,0.7923195958137512,0.999996542930603,0.0,0.0,1.0,-1.0,-0.18680709600448608,-0.7878142446279526,-0.6082311868667603
vQLPnPiD2shT2ZW2q-page4-16-page3-207,page4-16.svg,page3-207.svg,a person walking to the left | a person walking to the left,person walking to the left | person walking to the left,False,0.9999985098838806,1.0,1.0,1.0,1.0,1.0,0.9999987483024597,0.9999984502792358,0.0,1.0,0.0,0.0,-1.4901161193847656e-06,0.0,0.0
vQLPnPiD2shT2ZW2q-page6-202-page5-99,page6-202.svg,page5-99.svg,a tree | a dog or fox on back legs,sort of a tree | a mouse or small animallooking to the right,True,0.8150632381439209,0.8061654567718506,0.07363035529851913,-0.034802839159965515,0.19534531235694885,0.15737012028694153,0.7765451073646545,0.7698584794998169,1.0,0.0,0.0,1.0,0.008897781372070312,0.10843319445848465,0.037975192070007324
vQLPnPiD2shT2ZW2q-page9-7-page5-106,page9-7.svg,page5-106.svg,a bird flying | a bird taking flight,flying object | bird in flight,False,0.9639818668365479,0.8564897179603577,0.8949551582336426,0.5434296131134033,0.9191722273826599,0.6832723617553711,0.8989630341529846,0.8819110989570618,1.0,0.0,0.0,1.0,0.10749214887619019,0.35152554512023926,0.23589986562728882
vQLPnPiD2shT2ZW2q-page1-5-page1-38,page1-5.svg,page1-38.svg,a person with a hat on | a peson with a triangle hat on,a diamond with a triangle on top | person with traingle hat,False,0.9327166676521301,0.8470770120620728,0.37943488359451294,0.18602490425109863,0.5789023041725159,0.1289636641740799,0.8333388566970825,0.8311001062393188,1.0,0.0,0.0,1.0,0.08563965559005737,0.1934099793434143,0.449938639998436
vQLPnPiD2shT2ZW2q-page6-211-page3-7,page6-211.svg,page3-7.svg,a lil house with a path starting underneath | the outline of a house,house with path staring underneath | a house shape with two triangles on top,True,0.8806815147399902,0.8407455682754517,0.5360484719276428,0.48743101954460144,0.5397202968597412,0.3875466585159302,0.809871256351471,0.8198288083076477,1.0,0.0,0.0,1.0,0.039935946464538574,0.04861745238304138,0.15217363834381104
XdB7x8iMPdiJz7J7x-page9-40-page2-188,page9-40.svg,page2-188.svg,a slim candlestick with two triangles out the sides. | a block with an arrow,candlestick | arrow pointing to square,True,0.8043888807296753,0.8131778240203857,0.17689909040927887,0.07725904881954193,0.2494536191225052,0.09919343888759613,0.7558157444000244,0.8133687376976013,0.0,0.0,1.0,-1.0,-0.00878894329071045,0.09964004158973694,0.15026018023490906
XdB7x8iMPdiJz7J7x-page4-16-page8-143,page4-16.svg,page8-143.svg,a person walking with 1 leg up | a person with one triangle leg.,person stepping | a person standing who has one triangle leg,False,0.9111571907997131,0.8472512364387512,0.6028113961219788,0.49171024560928345,0.6869252324104309,0.4828948974609375,0.8577409386634827,0.8395907282829285,1.0,0.0,0.0,1.0,0.06390595436096191,0.11110115051269531,0.2040303349494934
XdB7x8iMPdiJz7J7x-page6-106-page5-57,page6-106.svg,page5-57.svg,the one flattest on theground and veering diagnoally | mountains,laying on the ground | mountains,True,0.7711002230644226,0.7890627980232239,0.13088633120059967,0.16106800734996796,0.1286247819662094,0.2371043562889099,0.7629512548446655,0.7738872766494751,0.0,1.0,0.0,0.0,-0.01796257495880127,-0.030181676149368286,-0.1084795743227005
XdB7x8iMPdiJz7J7x-page1-110-page5-151,page1-110.svg,page5-151.svg,a perfume bottle | an arrow pointing downward,chunky perfume bottle | arrow with a bulge in the middle pointing downward,True,0.7842784523963928,0.7661838531494141,-0.07756277173757553,-0.11549024283885956,0.10562005639076233,0.17429685592651367,0.7757773399353027,0.7564972043037415,0.0,0.0,1.0,-1.0,0.01809459924697876,0.03792747110128403,-0.06867679953575134
XdB7x8iMPdiJz7J7x-page6-196-page6-172,page6-196.svg,page6-172.svg,a person on their knees | a bird hopping in the air,person kneeling | a bird hopping into the air,False,0.8111403584480286,0.8236750960350037,-0.03195419907569885,-0.02783643640577793,0.18396852910518646,0.14798788726329803,0.7785844206809998,0.7717514038085938,0.0,1.0,0.0,0.0,-0.012534737586975098,-0.004117762669920921,0.03598064184188843
XdB7x8iMPdiJz7J7x-page5-122-page2-39,page5-122.svg,page2-39.svg,a sidewards ship | it could be an arm kind of curved,ghost | a u with one side partly collapsed,True,0.7915663719177246,0.7615330219268799,0.20027948915958405,0.13553787767887115,0.21568059921264648,0.2005959302186966,0.782971978187561,0.7655766606330872,0.0,1.0,0.0,0.0,0.030033349990844727,0.06474161148071289,0.01508466899394989
XdB7x8iMPdiJz7J7x-page7-241-page3-45,page7-241.svg,page3-45.svg,an elegant goblet with a triangle as base. | a big square on its side,arrow pointing down to triangle | road sign,False,0.8126555681228638,0.823891818523407,0.11937563866376877,0.42280060052871704,0.30453866720199585,0.2786163091659546,0.79108726978302,0.8484727144241333,0.0,1.0,0.0,0.0,-0.011236250400543213,-0.3034249618649483,0.02592235803604126
XdB7x8iMPdiJz7J7x-page6-23-page4-79,page6-23.svg,page4-79.svg,a person looking left and appearing to be pushing | a person dancing,"person looking left and pushing, and it almost they have a tail | person dancing with hands up and down",True,0.8305984735488892,0.8027933239936829,0.40570566058158875,0.25258776545524597,0.3300746977329254,0.3462066948413849,0.8042688369750977,0.8055498003959656,0.0,1.0,0.0,0.0,0.0278051495552063,0.15311789512634277,-0.016131997108459473
XdB7x8iMPdiJz7J7x-page9-14-page1-129,page9-14.svg,page1-129.svg,an h shape | walls with s chimney,h | upside down t,False,0.7804790735244751,0.8143957853317261,0.12113770097494125,0.32813748717308044,0.23800690472126007,0.3037595748901367,0.7731989622116089,0.8068614602088928,0.0,0.0,1.0,-1.0,-0.03391671180725098,-0.2069997861981392,-0.06575267016887665
XdB7x8iMPdiJz7J7x-page7-198-page7-198,page7-198.svg,page7-198.svg,a snake | a writhing snake with a square on the lower right,a stomach | stomach,False,0.8864551782608032,0.9510306715965271,0.7404448986053467,0.9233034253120422,0.7261500358581543,0.9099473357200623,0.823773980140686,1.0000001192092896,0.0,0.0,1.0,-1.0,-0.06457549333572388,-0.18285852670669556,-0.18379729986190796
EjMwd9NimSxSBR3t3-page6-201-page1-162,page6-201.svg,page1-162.svg,droopy | hang man,skinny long one farther right on top and left on bottom | lots of white space big skinny pole then curving right,True,0.797135055065155,0.8521878123283386,0.15010857582092285,0.539673924446106,0.14095193147659302,0.42026081681251526,0.7971215844154358,0.8474611639976501,0.0,0.0,1.0,-1.0,-0.055052757263183594,-0.3895653486251831,-0.27930888533592224
EjMwd9NimSxSBR3t3-page4-238-page6-202,page4-238.svg,page6-202.svg,cat sitting on two triangles | pointy guy,cat sitting on top of traingle bases | chubby man facing right with pointy nose,False,0.8018178343772888,0.7724484801292419,0.26228418946266174,0.01280532032251358,0.07727352529764175,0.15597662329673767,0.7958168983459473,0.7493390440940857,1.0,0.0,0.0,1.0,0.029369354248046875,0.24947886914014816,-0.07870309799909592
EjMwd9NimSxSBR3t3-page8-30-page7-76,page8-30.svg,page7-76.svg,man in a bowl | boat with diamond above,man in boat with diamond head | boat with diamond,False,0.7683964967727661,0.9042326211929321,0.26243993639945984,0.6855411529541016,0.03387340530753136,0.7088620662689209,0.7786585688591003,0.8664790391921997,0.0,1.0,0.0,0.0,-0.13583612442016602,-0.4231012165546417,-0.6749886609613895
EjMwd9NimSxSBR3t3-page1-5-page1-38,page1-5.svg,page1-38.svg,chinese hat man | man with triangle hat,chinese hat man huge triangle hat | man with chinese hat,True,0.8677111268043518,0.9228934049606323,0.6696848273277283,0.6825627088546753,0.5669207572937012,0.7865908145904541,0.8481258153915405,0.9381204843521118,0.0,0.0,1.0,-1.0,-0.05518227815628052,-0.012877881526947021,-0.21967005729675293
EjMwd9NimSxSBR3t3-page2-79-page8-85,page2-79.svg,page8-85.svg,house with chimney | animal looking down to the left,big house with chimney | animal facing down to the left,True,0.792689323425293,0.7758690118789673,-0.031911056488752365,-0.02101091854274273,0.12416208535432816,0.13097496330738068,0.7743735313415527,0.7621292471885681,0.0,1.0,0.0,0.0,0.016820311546325684,-0.010900137946009636,-0.006812877953052521
EjMwd9NimSxSBR3t3-page4-92-page5-87,page4-92.svg,page5-87.svg,rooster | chicken looking left,chicken right this time | chicken facing left,False,0.8197754621505737,0.880738377571106,0.627182126045227,0.7150538563728333,0.4661581814289093,0.5542377233505249,0.8220933079719543,0.8334070444107056,1.0,0.0,0.0,1.0,-0.06096291542053223,-0.0878717303276062,-0.0880795419216156
EjMwd9NimSxSBR3t3-page3-67-page7-47,page3-67.svg,page7-47.svg,"triangle hat, three pointy bottom | big bird and not sesame street think scary big bird","big triangle top, three points on bottom | big scary bird lots of downward points",True,0.7325071692466736,0.8110669851303101,-0.007871408015489578,0.244890958070755,0.11968430876731873,0.4490066170692444,0.7670261263847351,0.8192291855812073,0.0,1.0,0.0,0.0,-0.07855981588363647,-0.2527623660862446,-0.32932230830192566
EjMwd9NimSxSBR3t3-page7-246-page6-60,page7-246.svg,page6-60.svg,guy with top hat and neck tie | skinniest one,big tope triangles out the sides little triangle on bottom | really skinny one,False,0.7703917026519775,0.8006510734558105,0.10435422509908676,0.2393948882818222,0.20319755375385284,0.1675167977809906,0.7815027832984924,0.7805027961730957,1.0,0.0,0.0,1.0,-0.030259370803833008,-0.13504066318273544,0.035680755972862244
EjMwd9NimSxSBR3t3-page7-244-page7-244,page7-244.svg,page7-244.svg,two pointed feet and a rectangle top | triangle huge face with tiny hat,"small rectsngle on top, two down pointed triangle on bottom | pointy spaces at bottom tiny square head",True,0.8470847606658936,0.8749675154685974,0.22386625409126282,0.4004504680633545,0.24543164670467377,0.33906078338623047,0.8049348592758179,0.8606551885604858,0.0,1.0,0.0,0.0,-0.027882754802703857,-0.17658421397209167,-0.0936291366815567
EjMwd9NimSxSBR3t3-page4-140-page4-128,page4-140.svg,page4-128.svg,house with two diaganol chimneys | robot waving with one arm,"small house with two chimneys, one on each side of house | robot guy waving one arm",False,0.7604969143867493,0.7593216300010681,0.15129899978637695,0.12922972440719604,0.0048550888895988464,0.045921772718429565,0.708273708820343,0.7347244024276733,0.0,1.0,0.0,0.0,0.0011752843856811523,0.022069275379180908,-0.04106668382883072
Qng8nEuXfNgRbuH3d-page4-89-page6-172,page4-89.svg,page6-172.svg,person liftinf up one leg | a man blasting from his rear end,person lifting leg up | man walking to the right with one leg up,False,0.822969913482666,0.9092209935188293,0.15359364449977875,0.39025330543518066,0.15966066718101501,0.5483599901199341,0.8042346835136414,0.9067867994308472,0.0,0.0,1.0,-1.0,-0.08625108003616333,-0.23665966093540192,-0.38869932293891907
Qng8nEuXfNgRbuH3d-page4-157-page4-157,page4-157.svg,page4-157.svg,"a short fat rocketship | a box with a triangle on the top and 2 triangles at the bottom, legs",an arrowhead pointing up with triangle feet | box with triangle top and 2 triangle legs,True,0.7925547957420349,0.8531904816627502,0.20850998163223267,0.43927979469299316,0.08985663950443268,0.45364585518836975,0.7675819993019104,0.8518714308738708,0.0,1.0,0.0,0.0,-0.06063568592071533,-0.2307698130607605,-0.3637892156839371
Qng8nEuXfNgRbuH3d-page2-37-page6-100,page2-37.svg,page6-100.svg,a gateway with 2 doors/opening in it | kind of a triangle with two feet,gateway with 2 open doors in it | a wide pentagon with no point on top with triangle feet,True,0.8289945125579834,0.7967191934585571,0.1810678243637085,0.08340620994567871,0.2263948768377304,0.11974436044692993,0.7385625243186951,0.7700601816177368,0.0,1.0,0.0,0.0,0.03227531909942627,0.09766161441802979,0.10665051639080048
Qng8nEuXfNgRbuH3d-page8-246-page6-94,page8-246.svg,page6-94.svg,"a nazi symbol | fish swimming? triangle pointing down on left, up on rights=t",a chinese throwing star with four skinny sides | fish or whale swimming,False,0.7739093899726868,0.7663746476173401,0.29734569787979126,0.15911027789115906,0.1131860762834549,0.10350070893764496,0.7556558847427368,0.7518238425254822,0.0,1.0,0.0,0.0,0.00753474235534668,0.1382354199886322,0.009685367345809937
Qng8nEuXfNgRbuH3d-page5-60-page5-57,page5-60.svg,page5-57.svg,mountains in the distance | 3 mountains,mountains in the distance | 3 mountain range at a distance,True,0.8876964449882507,0.9162923693656921,0.759614109992981,0.8388673663139343,0.7496649026870728,0.7818002700805664,0.8667959570884705,0.9067676067352295,0.0,0.0,1.0,-1.0,-0.028595924377441406,-0.07925325632095337,-0.03213536739349365
Qng8nEuXfNgRbuH3d-page9-11-page8-8,page9-11.svg,page8-8.svg,the letter o | flower drooping over to the ground,the letter o | flower drooping over,False,0.7671183943748474,0.7751142978668213,0.025600431486964226,0.01054120622575283,0.13670021295547485,0.14791738986968994,0.7656669020652771,0.7802960872650146,0.0,1.0,0.0,0.0,-0.007995903491973877,0.015059225261211395,-0.011217176914215088
Qng8nEuXfNgRbuH3d-page1-122-page9-32,page1-122.svg,page9-32.svg,a headless dog | llama,headless horse | llama,False,0.8164442777633667,0.8162429332733154,0.259538471698761,0.36934134364128113,0.1641983687877655,0.15128779411315918,0.8037518858909607,0.8163666725158691,0.0,0.0,2.0,-1.0,0.00020134449005126953,-0.10980287194252014,0.012910574674606323
Qng8nEuXfNgRbuH3d-page2-166-page9-13,page2-166.svg,page9-13.svg,"an ""x"" on stilts (boxes at the top, triangles at the bottom) | the letter k","the letter ""x"" with boxes at the top and triangles at the bottom | the letter k",True,0.7943933010101318,0.8369158506393433,0.300976037979126,0.5376999974250793,0.09971525520086288,0.2816004157066345,0.767727792263031,0.813165009021759,0.0,1.0,0.0,0.0,-0.042522549629211426,-0.23672395944595337,-0.18188516050577164
Qng8nEuXfNgRbuH3d-page1-148-page6-9,page1-148.svg,page6-9.svg,head baby yoda | upper view of a bird flying,a baby yoda head or the letter y with a triangle between it | bird flying viewed from above,True,0.7788897156715393,0.7864362597465515,0.04119403660297394,0.06108024716377258,0.12990453839302063,0.14020593464374542,0.7787872552871704,0.7799817323684692,0.0,1.0,0.0,0.0,-0.007546544075012207,-0.019886210560798645,-0.010301396250724792
Qng8nEuXfNgRbuH3d-page1-63-page1-55,page1-63.svg,page1-55.svg,christmas tree | a heart,christmas tret | heart on a flat stand,False,0.8072599768638611,0.7800515294075012,0.08489745855331421,0.013089215382933617,0.22509053349494934,0.09864982217550278,0.7895544767379761,0.760750949382782,0.0,1.0,0.0,0.0,0.027208447456359863,0.07180824317038059,0.12644071131944656
EptBuMXcjEDCkn4r4-page6-243-page3-52,page6-243.svg,page3-52.svg,upright knife | an upside down y,upright knife | upside down y,True,0.8110405802726746,0.8061723113059998,0.03927330672740936,0.0772334411740303,0.3854392170906067,0.3686208426952362,0.7980896234512329,0.798035740852356,0.0,1.0,0.0,0.0,0.004868268966674805,-0.03796013444662094,0.016818374395370483
EptBuMXcjEDCkn4r4-page3-8-page1-76,page3-8.svg,page1-76.svg,triangle sunglasses | flat top,sunglasses | flat top with 4 legs,True,0.8079617619514465,0.7738291621208191,0.27812108397483826,0.08633535355329514,0.24537192285060883,0.09940023720264435,0.7946436405181885,0.7716449499130249,0.0,1.0,0.0,0.0,0.03413259983062744,0.19178573042154312,0.14597168564796448
EptBuMXcjEDCkn4r4-page4-96-page1-178,page4-96.svg,page1-178.svg,pan handle | a boat with a crane on it facing right,pot with handle | golf club?,False,0.7684404253959656,0.7791266441345215,0.07111886143684387,0.21797902882099152,0.09209492057561874,0.11664576828479767,0.7598820924758911,0.7919983267784119,0.0,0.0,1.0,-1.0,-0.010686218738555908,-0.14686016738414764,-0.024550847709178925
EptBuMXcjEDCkn4r4-page6-50-page6-96,page6-50.svg,page6-96.svg,xmas tree | a bird flying straight up,christmas tree with jagged bottom | a bird flying up - 2 wings that are triangles,False,0.7844675779342651,0.7995147109031677,0.08973874896764755,0.2847147583961487,0.11688938736915588,0.15406808257102966,0.7533215284347534,0.7751689553260803,0.0,1.0,0.0,0.0,-0.015047132968902588,-0.19497600942850113,-0.03717869520187378
EptBuMXcjEDCkn4r4-page3-41-page6-124,page3-41.svg,page6-124.svg,a bat | downward arrow,bat | downward facing arrow with white rectangle in middle,True,0.7819883823394775,0.7816803455352783,0.16416507959365845,0.1784772127866745,0.172166109085083,0.014576287008821964,0.7737646698951721,0.7662219405174255,0.0,0.0,1.0,-1.0,0.00030803680419921875,-0.014312133193016052,0.15758982207626104
EptBuMXcjEDCkn4r4-page1-85-page7-185,page1-85.svg,page7-185.svg,a rocket | golf club,arrow facing up | a golf club (just the club),False,0.8075330257415771,0.7738201022148132,0.0457904115319252,0.15812861919403076,0.20467489957809448,0.07293912768363953,0.7872738838195801,0.7733567357063293,0.0,0.0,1.0,-1.0,0.033712923526763916,-0.11233820766210556,0.13173577189445496
EptBuMXcjEDCkn4r4-page3-198-page3-198,page3-198.svg,page3-198.svg,praying man | a person in a robe facing left,praying man | praying man,True,0.8160919547080994,1.0000001192092896,0.31886088848114014,1.0,0.06715874373912811,1.0,0.8033825755119324,0.9999963641166687,0.0,0.0,1.0,-1.0,-0.18390816450119019,-0.6811391115188599,-0.9328412562608719
