phase,similarity,pair-id,game,tangrams,is_control,bin,p1_description,p2_description,tangram1_snd,tangram2_snd,interactive_phase_tangram,interactive_phase_snd,thread_avg_snd,tangram_A,tangram_B,context_id,thread_id,sim_A_interactive,sim_B_interactive,avg_sim_AB_interactive,jaccard_index,prepost_avg_snd
post,0.7996293306350708,6,tb5z6t6rfTDKhnJ3p,"['page3-198.svg', 'page7-86.svg']",False,7,person hold box look leave,person pray,0.937037037037037,0.9333333333333332,page4-11,0.738888888888889,0.869753086419753,page3-198,page7-86,12,1,0.7454822659492493,0.7172858715057373,0.7313840687274933,0.5,0.9351851851851851
pre,0.7501452565193176,7,tb5z6t6rfTDKhnJ3p,"['page7-15.svg', 'page5-57.svg']",True,8,traingle wing diamond shape body single triangle foot,mountain range,0.5935185185185186,0.9592592592592591,page5-58,0.875925925925926,0.8095679012345679,page7-15,page5-57,5,0,0.7632442116737366,0.688717246055603,0.7259807288646698,0.0,0.7763888888888888
post,0.8392388820648193,7,tb5z6t6rfTDKhnJ3p,"['page7-15.svg', 'page5-57.svg']",True,8,long thin point,long see shape,0.5935185185185186,0.9592592592592591,page5-58,0.875925925925926,0.8095679012345679,page7-15,page5-57,5,0,0.7632442116737366,0.688717246055603,0.7259807288646698,0.3333333333333333,0.7763888888888888
pre,0.749131441116333,8,tb5z6t6rfTDKhnJ3p,"['page4-233.svg', 'page1-113.svg']",False,3,large bowl,triangle connect point,0.974074074074074,0.961111111111111,page7-166,1.0,0.9783950617283952,page4-233,page1-113,12,5,0.5385257601737976,0.4895277321338653,0.5140267461538315,0.0,0.9675925925925926
post,0.888362467288971,8,tb5z6t6rfTDKhnJ3p,"['page4-233.svg', 'page1-113.svg']",False,3,large bowl edge show,fully shape bowl,0.974074074074074,0.961111111111111,page7-166,1.0,0.9783950617283952,page4-233,page1-113,12,5,0.5385257601737976,0.4895277321338653,0.5140267461538315,0.3333333333333333,0.9675925925925926
pre,0.860970675945282,9,tb5z6t6rfTDKhnJ3p,"['page1-5.svg', 'page7-85.svg']",False,0,arrow point,triangle pointing opposite direction triangle point middle,0.825925925925926,0.8222222222222222,page6-198,0.9851851851851852,0.8777777777777778,page1-5,page7-85,12,8,0.3583301305770874,0.3487433195114136,0.3535367250442505,0.1428571428571428,0.8240740740740741
post,0.7581009268760681,9,tb5z6t6rfTDKhnJ3p,"['page1-5.svg', 'page7-85.svg']",False,0,utt plug arrow pointing,mountain 1 large peak middle 2 small one,0.825925925925926,0.8222222222222222,page6-198,0.9851851851851852,0.8777777777777778,page1-5,page7-85,12,8,0.3583301305770874,0.3487433195114136,0.3535367250442505,0.0,0.8240740740740741
pre,0.8335795402526855,10,4zdxXGnJJGTT8KnwG,"['page7-39.svg', 'page7-35.svg']",False,7,small steamboat tugboat fin,boat big center section,0.861111111111111,0.7333333333333334,page7-41,0.7555555555555555,0.7833333333333333,page7-39,page7-35,18,1,0.7378087043762207,0.7041320204734802,0.7209703624248505,0.0,0.7972222222222223
post,0.8923295736312866,10,4zdxXGnJJGTT8KnwG,"['page7-39.svg', 'page7-35.svg']",False,7,boat large narrow small roof,boat,0.861111111111111,0.7333333333333334,page7-41,0.7555555555555555,0.7833333333333333,page7-39,page7-35,18,1,0.7378087043762207,0.7041320204734802,0.7209703624248505,1.0,0.7972222222222223
pre,0.7786730527877808,11,4zdxXGnJJGTT8KnwG,"['page4-135.svg', 'page7-197.svg']",True,1,tower arrow pointing,narrow fountain diamond,0.9,0.973148148148148,page7-92,0.9333333333333332,0.9354938271604936,page4-135,page7-197,18,7,0.4152413606643677,0.3964366018772125,0.4058389812707901,0.0,0.936574074074074
post,0.7969347834587097,11,4zdxXGnJJGTT8KnwG,"['page4-135.svg', 'page7-197.svg']",True,1,arrow point tower,delicate narrow fountain diamond,0.9,0.973148148148148,page7-92,0.9333333333333332,0.9354938271604936,page4-135,page7-197,18,7,0.4152413606643677,0.3964366018772125,0.4058389812707901,0.0,0.936574074074074
pre,0.7815182209014893,12,4zdxXGnJJGTT8KnwG,"['page2-134.svg', 'page7-209.svg']",True,5,mortar bowl,large wide cannon pointing sky,0.977777777777778,0.8518518518518519,page5-37,0.961111111111111,0.9302469135802468,page2-134,page7-209,18,3,0.6311872005462646,0.5878552198410034,0.609521210193634,0.0,0.914814814814815
post,0.7603062987327576,12,4zdxXGnJJGTT8KnwG,"['page2-134.svg', 'page7-209.svg']",True,5,mortar bowl,wide fat cannon angle point upward,0.977777777777778,0.8518518518518519,page5-37,0.961111111111111,0.9302469135802468,page2-134,page7-209,18,3,0.6311872005462646,0.5878552198410034,0.609521210193634,0.0,0.914814814814815
pre,0.7849341630935669,13,4zdxXGnJJGTT8KnwG,"['page1-38.svg', 'page5-217.svg']",True,2,wide man coolie hat,roof house squared,0.8633333333333335,0.9694444444444444,page1-59,0.9514814814814816,0.9280864197530864,page1-38,page5-217,18,6,0.4765347838401794,0.4484127759933471,0.4624737799167633,0.0,0.9163888888888889
post,0.7746824026107788,13,4zdxXGnJJGTT8KnwG,"['page1-38.svg', 'page5-217.svg']",True,2,wide fat man conical triangualar rice paddy type hat,ornament square,0.8633333333333335,0.9694444444444444,page1-59,0.9514814814814816,0.9280864197530864,page1-38,page5-217,18,6,0.4765347838401794,0.4484127759933471,0.4624737799167633,0.0,0.9163888888888889
pre,0.7649027705192566,14,4zdxXGnJJGTT8KnwG,"['page1-125.svg', 'page3-8.svg']",False,8,basic look fence,small mountain upside,0.8455555555555556,0.9537037037037038,page5-134,0.9768518518518516,0.9253703703703704,page1-125,page3-8,18,0,0.771430492401123,0.7143585681915283,0.7428945302963257,0.0,0.8996296296296298
post,0.9999983310699464,14,4zdxXGnJJGTT8KnwG,"['page1-125.svg', 'page3-8.svg']",False,8,bowtie fang,bowtie fang,0.8455555555555556,0.9537037037037038,page5-134,0.9768518518518516,0.9253703703703704,page1-125,page3-8,18,0,0.771430492401123,0.7143585681915283,0.7428945302963257,1.0,0.8996296296296298
pre,0.7466735243797302,15,4zdxXGnJJGTT8KnwG,"['page7-146.svg', 'page4-20.svg']",True,3,person boat face perfect symmetry,old man tai chi exercise,0.9537037037037036,0.962037037037037,page4-15,0.937962962962963,0.9512345679012344,page7-146,page4-20,5,5,0.5120847225189209,0.4687712490558624,0.4904279857873916,0.0,0.9578703703703704
post,0.8061426877975464,15,4zdxXGnJJGTT8KnwG,"['page7-146.svg', 'page4-20.svg']",True,3,person sit boat face forward perfect symmetry,man tai chi type exercise pose,0.9537037037037036,0.962037037037037,page4-15,0.937962962962963,0.9512345679012344,page7-146,page4-20,5,5,0.5120847225189209,0.4687712490558624,0.4904279857873916,0.0,0.9578703703703704
pre,0.7781471014022827,16,4zdxXGnJJGTT8KnwG,"['page8-204.svg', 'page7-34.svg']",False,4,elegant swan look tail,lizard head flat body,0.9111111111111112,0.8666666666666666,page5-89,0.8181818181818182,0.8653198653198654,page8-204,page7-34,18,4,0.5693606734275818,0.5617895722389221,0.565575122833252,0.0,0.8888888888888888
post,0.7756181359291077,16,4zdxXGnJJGTT8KnwG,"['page8-204.svg', 'page7-34.svg']",False,4,bird swan look feather,lizard head flat body,0.9111111111111112,0.8666666666666666,page5-89,0.8181818181818182,0.8653198653198654,page8-204,page7-34,18,4,0.5693606734275818,0.5617895722389221,0.565575122833252,0.0,0.8888888888888888
pre,0.7908759713172913,17,4zdxXGnJJGTT8KnwG,"['page3-122.svg', 'page5-220.svg']",False,0,rocket downward face arrow,large fox head pointy ear,0.974074074074074,0.9907407407407408,page3-193,0.965277777777778,0.9766975308641976,page3-122,page5-220,11,8,0.376280665397644,0.3687169849872589,0.3724988251924515,0.0,0.9824074074074074
post,0.7868567705154419,17,4zdxXGnJJGTT8KnwG,"['page3-122.svg', 'page5-220.svg']",False,0,rocket arrow pointing downward,fox head wide pointy ear,0.974074074074074,0.9907407407407408,page3-193,0.965277777777778,0.9766975308641976,page3-122,page5-220,11,8,0.376280665397644,0.3687169849872589,0.3724988251924515,0.0,0.9824074074074074
pre,0.7742313742637634,18,4zdxXGnJJGTT8KnwG,"['page1-116.svg', 'page1-116.svg']",False,9,tall outdoor lamp heavy base wide shade,chimney chute,0.8222222222222222,0.8222222222222222,page1-116,0.8222222222222222,0.8222222222222223,page1-116,page1-116,18,9,1.0000001192092896,1.0000001192092896,1.0000001192092896,0.0,0.8222222222222222
post,0.9999989867210388,18,4zdxXGnJJGTT8KnwG,"['page1-116.svg', 'page1-116.svg']",False,9,chimney square base,chimney square base,0.8222222222222222,0.8222222222222222,page1-116,0.8222222222222222,0.8222222222222223,page1-116,page1-116,18,9,1.0000001192092896,1.0000001192092896,1.0000001192092896,1.0,0.8222222222222222
pre,0.8533011078834534,19,4zdxXGnJJGTT8KnwG,"['page9-31.svg', 'page1-79.svg']",True,6,birdhouse outdoors pedestal,double layer rocket birdhouse,0.9685185185185186,0.977777777777778,page5-155,0.5777777777777778,0.841358024691358,page9-31,page1-79,18,2,0.6880582571029663,0.581413984298706,0.6347361207008362,0.25,0.9731481481481483
post,0.8706637024879456,19,4zdxXGnJJGTT8KnwG,"['page9-31.svg', 'page1-79.svg']",True,6,birdhouse pedestal triangle,double layer birdhouse,0.9685185185185186,0.977777777777778,page5-155,0.5777777777777778,0.841358024691358,page9-31,page1-79,18,2,0.6880582571029663,0.581413984298706,0.6347361207008362,0.3333333333333333,0.9731481481481483
pre,0.8006722927093506,20,vQLPnPiD2shT2ZW2q,"['page1-85.svg', 'page7-185.svg']",True,0,arrow pointing upwards,upside ladle spoon,0.977777777777778,0.977777777777778,page7-234,0.977777777777778,0.977777777777778,page1-85,page7-185,7,8,0.3474637866020202,0.3337922096252441,0.3406279981136322,0.0,0.977777777777778
post,0.809824526309967,20,vQLPnPiD2shT2ZW2q,"['page1-85.svg', 'page7-185.svg']",True,0,arrow pointing upwards,hat bit right,0.977777777777778,0.977777777777778,page7-234,0.977777777777778,0.977777777777778,page1-85,page7-185,7,8,0.3474637866020202,0.3337922096252441,0.3406279981136322,0.0,0.977777777777778
pre,0.8687355518341064,21,vQLPnPiD2shT2ZW2q,"['page4-30.svg', 'page4-59.svg']",True,2,person sit leg left,person face left push,0.825925925925926,0.9101851851851852,page2-152,0.8518518518518519,0.8626543209876543,page4-30,page4-59,13,6,0.4899147748947143,0.4855386316776275,0.4877267032861709,0.5,0.8680555555555556
post,0.860346794128418,21,vQLPnPiD2shT2ZW2q,"['page4-30.svg', 'page4-59.svg']",True,2,person sit look left,person face right push,0.825925925925926,0.9101851851851852,page2-152,0.8518518518518519,0.8626543209876543,page4-30,page4-59,13,6,0.4899147748947143,0.4855386316776275,0.4877267032861709,0.25,0.8680555555555556
pre,0.8249679207801819,22,vQLPnPiD2shT2ZW2q,"['page5-134.svg', 'page3-8.svg']",False,8,buntin,bat,0.9768518518518516,0.9537037037037038,page5-168,0.977777777777778,0.9694444444444444,page5-134,page3-8,8,2,0.6808422803878784,0.6125831604003906,0.6467127203941345,0.0,0.9652777777777777
post,0.7768185138702393,22,vQLPnPiD2shT2ZW2q,"['page5-134.svg', 'page3-8.svg']",False,8,table leg,triangle face downward,0.9768518518518516,0.9537037037037038,page5-168,0.977777777777778,0.9694444444444444,page5-134,page3-8,8,2,0.6808422803878784,0.6125831604003906,0.6467127203941345,0.0,0.9652777777777777
pre,0.7732675075531006,23,vQLPnPiD2shT2ZW2q,"['page4-96.svg', 'page1-178.svg']",True,7,tap,crocadile jaw beak point  right,1.0,0.9592592592592591,page4-97,0.9685185185185186,0.975925925925926,page4-96,page1-178,7,1,0.7280892133712769,0.4796136915683746,0.6038514524698257,0.0,0.9796296296296296
post,0.7663114070892334,23,vQLPnPiD2shT2ZW2q,"['page4-96.svg', 'page1-178.svg']",True,7,smoking pipe,crocadile head,1.0,0.9592592592592591,page4-97,0.9685185185185186,0.975925925925926,page4-96,page1-178,7,1,0.7280892133712769,0.4796136915683746,0.6038514524698257,0.0,0.9796296296296296
pre,0.7923195958137512,24,vQLPnPiD2shT2ZW2q,"['page4-103.svg', 'page4-103.svg']",False,9,egg cup,face,0.977777777777778,0.977777777777778,page4-103,0.977777777777778,0.977777777777778,page4-103,page4-103,13,9,1.0,1.0,1.0,0.0,0.977777777777778
post,0.999996542930603,24,vQLPnPiD2shT2ZW2q,"['page4-103.svg', 'page4-103.svg']",False,9,egg cup,egg cup,0.977777777777778,0.977777777777778,page4-103,0.977777777777778,0.977777777777778,page4-103,page4-103,13,9,1.0,1.0,1.0,1.0,0.977777777777778
pre,0.9999987483024596,25,vQLPnPiD2shT2ZW2q,"['page4-16.svg', 'page3-207.svg']",False,3,person walk left,person walk left,0.8407407407407407,0.7388888888888889,page8-210,0.8481481481481483,0.8092592592592593,page4-16,page3-207,13,5,0.5409404039382935,0.5313445329666138,0.5361424684524536,1.0,0.7898148148148147
post,0.9999984502792358,25,vQLPnPiD2shT2ZW2q,"['page4-16.svg', 'page3-207.svg']",False,3,person walk left,person walk left,0.8407407407407407,0.7388888888888889,page8-210,0.8481481481481483,0.8092592592592593,page4-16,page3-207,13,5,0.5409404039382935,0.5313445329666138,0.5361424684524536,1.0,0.7898148148148147
pre,0.7765451073646545,26,vQLPnPiD2shT2ZW2q,"['page6-202.svg', 'page5-99.svg']",True,1,tree,dog fox leg,0.9888888888888888,0.861111111111111,page3-189,0.9055555555555556,0.9185185185185184,page6-202,page5-99,13,7,0.4443295896053314,0.4426133632659912,0.4434714764356613,0.0,0.9249999999999999
post,0.7698584794998169,26,vQLPnPiD2shT2ZW2q,"['page6-202.svg', 'page5-99.svg']",True,1,sort tree,mouse small animallooking right,0.9888888888888888,0.861111111111111,page3-189,0.9055555555555556,0.9185185185185184,page6-202,page5-99,13,7,0.4443295896053314,0.4426133632659912,0.4434714764356613,0.0,0.9249999999999999
pre,0.8989630341529846,27,vQLPnPiD2shT2ZW2q,"['page9-7.svg', 'page5-106.svg']",False,5,bird fly,bird take flight,0.977777777777778,0.9255555555555556,page5-123,0.9564814814814816,0.9532716049382718,page9-7,page5-106,13,3,0.6132632493972778,0.5660528540611267,0.5896580517292023,0.3333333333333333,0.9516666666666668
post,0.8819110989570618,27,vQLPnPiD2shT2ZW2q,"['page9-7.svg', 'page5-106.svg']",False,5,fly object,bird flight,0.977777777777778,0.9255555555555556,page5-123,0.9564814814814816,0.9532716049382718,page9-7,page5-106,13,3,0.6132632493972778,0.5660528540611267,0.5896580517292023,0.0,0.9516666666666668
pre,0.8333388566970825,28,vQLPnPiD2shT2ZW2q,"['page1-5.svg', 'page1-38.svg']",False,6,person hat,peson triangle hat,0.825925925925926,0.8633333333333335,page5-193,0.9685185185185186,0.885925925925926,page1-5,page1-38,3,2,0.6642266511917114,0.6467574834823608,0.6554920673370361,0.3333333333333333,0.8446296296296297
post,0.8311001062393188,28,vQLPnPiD2shT2ZW2q,"['page1-5.svg', 'page1-38.svg']",False,6,diamond triangle,person traingle hat,0.825925925925926,0.8633333333333335,page5-193,0.9685185185185186,0.885925925925926,page1-5,page1-38,3,2,0.6642266511917114,0.6467574834823608,0.6554920673370361,0.0,0.8446296296296297
pre,0.809871256351471,29,vQLPnPiD2shT2ZW2q,"['page6-211.svg', 'page3-7.svg']",True,4,lil house path start underneath,outline house,0.9000000000000001,0.9092592592592592,page7-179,0.9907407407407408,0.9333333333333336,page6-211,page3-7,13,4,0.5601565837860107,0.5282637476921082,0.5442101657390594,0.5,0.9046296296296297
post,0.8198288083076477,29,vQLPnPiD2shT2ZW2q,"['page6-211.svg', 'page3-7.svg']",True,4,house path stare underneath,house shape triangle,0.9000000000000001,0.9092592592592592,page7-179,0.9907407407407408,0.9333333333333336,page6-211,page3-7,13,4,0.5601565837860107,0.5282637476921082,0.5442101657390594,0.3333333333333333,0.9046296296296297
pre,0.7558157444000244,30,XdB7x8iMPdiJz7J7x,"['page9-40.svg', 'page2-188.svg']",True,3,slim candlestick triangle side,block arrow,1.0,0.9888888888888888,page1-72,0.9925925925925926,0.9938271604938272,page9-40,page2-188,6,5,0.5236685276031494,0.5065689086914062,0.5151187181472778,0.0,0.9944444444444445
post,0.8133687376976013,30,XdB7x8iMPdiJz7J7x,"['page9-40.svg', 'page2-188.svg']",True,3,candlestick,arrow pointing square,1.0,0.9888888888888888,page1-72,0.9925925925925926,0.9938271604938272,page9-40,page2-188,6,5,0.5236685276031494,0.5065689086914062,0.5151187181472778,0.0,0.9944444444444445
pre,0.8577409386634827,31,XdB7x8iMPdiJz7J7x,"['page4-16.svg', 'page8-143.svg']",False,6,person walk 1 leg,person triangle leg,0.8407407407407407,0.8472222222222221,page8-58,0.7259259259259259,0.8046296296296296,page4-16,page8-143,6,2,0.6953449249267578,0.6831783056259155,0.6892616152763367,0.6666666666666666,0.8439814814814814
post,0.8395907282829285,31,XdB7x8iMPdiJz7J7x,"['page4-16.svg', 'page8-143.svg']",False,6,person step,person stand triangle leg,0.8407407407407407,0.8472222222222221,page8-58,0.7259259259259259,0.8046296296296296,page4-16,page8-143,6,2,0.6953449249267578,0.6831783056259155,0.6892616152763367,0.25,0.8439814814814814
pre,0.7629512548446655,32,XdB7x8iMPdiJz7J7x,"['page6-106.svg', 'page5-57.svg']",True,2,flat theground veer diagnoally,mountain,0.948148148148148,0.9592592592592591,page9-46,0.9240740740740744,0.9438271604938272,page6-106,page5-57,6,6,0.4923614859580993,0.4589740633964538,0.4756677746772766,0.0,0.9537037037037035
post,0.7738872766494751,32,XdB7x8iMPdiJz7J7x,"['page6-106.svg', 'page5-57.svg']",True,2,lay ground,mountain,0.948148148148148,0.9592592592592591,page9-46,0.9240740740740744,0.9438271604938272,page6-106,page5-57,6,6,0.4923614859580993,0.4589740633964538,0.4756677746772766,0.0,0.9537037037037035
pre,0.7757773399353027,33,XdB7x8iMPdiJz7J7x,"['page1-110.svg', 'page5-151.svg']",True,4,perfume bottle,arrow pointing downward,0.9240740740740744,0.962962962962963,page7-32,0.8666666666666666,0.9179012345679012,page1-110,page5-151,6,4,0.5514490008354187,0.5058096647262573,0.528629332780838,0.0,0.9435185185185186
post,0.7564972043037415,33,XdB7x8iMPdiJz7J7x,"['page1-110.svg', 'page5-151.svg']",True,4,chunky perfume bottle,arrow bulge middle pointing downward,0.9240740740740744,0.962962962962963,page7-32,0.8666666666666666,0.9179012345679012,page1-110,page5-151,6,4,0.5514490008354187,0.5058096647262573,0.528629332780838,0.0,0.9435185185185186
pre,0.7785844206809998,34,XdB7x8iMPdiJz7J7x,"['page6-196.svg', 'page6-172.svg']",False,7,person knee,bird hop air,0.7166666666666666,0.7,page6-192,0.6444444444444445,0.687037037037037,page6-196,page6-172,6,1,0.7289259433746338,0.5797598361968994,0.6543428897857666,0.0,0.7083333333333333
post,0.7717514038085938,34,XdB7x8iMPdiJz7J7x,"['page6-196.svg', 'page6-172.svg']",False,7,person kneel,bird hop air,0.7166666666666666,0.7,page6-192,0.6444444444444445,0.687037037037037,page6-196,page6-172,6,1,0.7289259433746338,0.5797598361968994,0.6543428897857666,0.0,0.7083333333333333
pre,0.782971978187561,35,XdB7x8iMPdiJz7J7x,"['page5-122.svg', 'page2-39.svg']",True,8,sideward ship,arm kind curved,0.9333333333333332,0.9333333333333332,page1-148,0.977777777777778,0.9481481481481482,page5-122,page2-39,6,0,0.7666729688644409,0.4382549822330475,0.6024639755487442,0.0,0.9333333333333332
post,0.7655766606330872,35,XdB7x8iMPdiJz7J7x,"['page5-122.svg', 'page2-39.svg']",True,8,ghost,u partly collapse,0.9333333333333332,0.9333333333333332,page1-148,0.977777777777778,0.9481481481481482,page5-122,page2-39,6,0,0.7666729688644409,0.4382549822330475,0.6024639755487442,0.0,0.9333333333333332
pre,0.79108726978302,36,XdB7x8iMPdiJz7J7x,"['page7-241.svg', 'page3-45.svg']",False,0,elegant goblet triangle base,big square,0.8925925925925926,1.0,page6-162,1.0,0.9641975308641976,page7-241,page3-45,5,8,0.3579007089138031,0.3509619534015655,0.3544313311576843,0.0,0.9462962962962963
post,0.8484727144241333,36,XdB7x8iMPdiJz7J7x,"['page7-241.svg', 'page3-45.svg']",False,0,arrow pointing triangle,road sign,0.8925925925925926,1.0,page6-162,1.0,0.9641975308641976,page7-241,page3-45,5,8,0.3579007089138031,0.3509619534015655,0.3544313311576843,0.0,0.9462962962962963
pre,0.8042688369750977,37,XdB7x8iMPdiJz7J7x,"['page6-23.svg', 'page4-79.svg']",True,5,person look leave appear push,person dance,0.7776190476190477,0.9018518518518516,page8-148,0.8999999999999998,0.8598236331569664,page6-23,page4-79,6,3,0.6354174017906189,0.6205627918243408,0.6279900968074799,0.5,0.8397354497354497
post,0.8055498003959656,37,XdB7x8iMPdiJz7J7x,"['page6-23.svg', 'page4-79.svg']",True,5,person look leave push tail,person dance hand,0.7776190476190477,0.9018518518518516,page8-148,0.8999999999999998,0.8598236331569664,page6-23,page4-79,6,3,0.6354174017906189,0.6205627918243408,0.6279900968074799,0.3333333333333333,0.8397354497354497
pre,0.7731989622116089,38,XdB7x8iMPdiJz7J7x,"['page9-14.svg', 'page1-129.svg']",False,1,h shape,wall s chimney,0.9071428571428573,0.9851851851851852,page4-93,0.951851851851852,0.9480599647266312,page9-14,page1-129,6,7,0.4361800253391266,0.4129400253295898,0.4245600253343582,0.0,0.9461640211640212
post,0.8068614602088928,38,XdB7x8iMPdiJz7J7x,"['page9-14.svg', 'page1-129.svg']",False,1,h,upside t,0.9071428571428573,0.9851851851851852,page4-93,0.951851851851852,0.9480599647266312,page9-14,page1-129,6,7,0.4361800253391266,0.4129400253295898,0.4245600253343582,0.0,0.9461640211640212
pre,0.823773980140686,39,XdB7x8iMPdiJz7J7x,"['page7-198.svg', 'page7-198.svg']",False,9,snake,writhe snake square low right,0.9814814814814816,0.9814814814814816,page7-198,0.9814814814814816,0.9814814814814816,page7-198,page7-198,6,9,1.000000238418579,1.000000238418579,1.000000238418579,0.2,0.9814814814814816
post,1.0000001192092896,39,XdB7x8iMPdiJz7J7x,"['page7-198.svg', 'page7-198.svg']",False,9,stomach,stomach,0.9814814814814816,0.9814814814814816,page7-198,0.9814814814814816,0.9814814814814816,page7-198,page7-198,6,9,1.000000238418579,1.000000238418579,1.000000238418579,1.0,0.9814814814814816
pre,0.7971215844154358,40,EjMwd9NimSxSBR3t3,"['page6-201.svg', 'page1-162.svg']",True,0,droopy,hang man,0.9611111111111112,0.9,page6-245,1.0,0.9537037037037036,page6-201,page1-162,3,8,0.387180358171463,0.3674854636192322,0.3773329108953476,0.0,0.9305555555555556
post,0.8474611639976501,40,EjMwd9NimSxSBR3t3,"['page6-201.svg', 'page1-162.svg']",True,0,skinny long far right leave,lot white space big skinny pole curve right,0.9611111111111112,0.9,page6-245,1.0,0.9537037037037036,page6-201,page1-162,3,8,0.387180358171463,0.3674854636192322,0.3773329108953476,0.25,0.9305555555555556
pre,0.7958168983459473,41,EjMwd9NimSxSBR3t3,"['page4-238.svg', 'page6-202.svg']",False,7,cat sit triangle,pointy guy,0.9907407407407408,0.9888888888888888,page4-237,0.971851851851852,0.9838271604938272,page4-238,page6-202,3,1,0.7101567983627319,0.559388279914856,0.634772539138794,0.0,0.9898148148148148
