key,pair0_image_sim,pair1_image_sim,gt,eq,lt,human_judgement,pair0_phase2_image,pair0_phase3_image,pair1_phase2_image,pair1_phase3_image,sim_diff
1xzeb6CDfRkhFbghMI0a,0.5987216830253601,-0.1082838922739029,2,0,0,1.0,page3-101.svg,page1-79.svg,page5-57.svg,page3-56.svg,0.707005575299263
1y4WoXA5dV5yneWsU9AU,0.3687168955802917,0.7002223134040833,1,1,0,,page5-220.svg,page3-193.svg,page8-222.svg,page5-57.svg,-0.33150541782379156
1zMnNVixs3V7WdINcZyj,0.6769879460334778,0.1571952700614929,0,2,0,0.0,page4-92.svg,page5-87.svg,page3-56.svg,page2-156.svg,0.5197926759719849
226lETBsF7qYhwltpQJy,0.1353488862514495,0.4172711670398712,0,1,1,,page4-142.svg,page7-177.svg,page3-23.svg,page5-0.svg,-0.28192228078842174
27Mvu2sVS8AZNelPJf1O,0.0717842206358909,0.0635329484939575,1,1,0,,page7-76.svg,page1-63.svg,page3-201.svg,page9-7.svg,0.0082512721419334
2A9azx0rFQw55agNLBM1,-0.0363037213683128,0.4843377768993377,0,0,2,-1.0,page2-189.svg,page7-76.svg,page3-44.svg,page4-203.svg,-0.5206414982676505
2AEfzYHCUCNlJ4BXx21O,0.4449212849140167,0.8550229072570801,0,0,2,-1.0,page7-72.svg,page7-61.svg,page6-181.svg,page6-179.svg,-0.41010162234306335
2OKY7hScDRdI3u1rW2d0,0.4382550418376922,1.0,0,0,2,-1.0,page1-148.svg,page2-39.svg,page7-198.svg,page7-198.svg,-0.5617449581623077
2Q6TBVKD7TeD9PYcfMC6,0.5155487656593323,0.771430492401123,0,0,2,-1.0,page7-226.svg,page2-156.svg,page5-134.svg,page1-125.svg,-0.25588172674179077
2RIUqMFLfR99nePB8h7Z,0.5699211359024048,0.4909010529518127,1,1,0,,page2-19.svg,page4-110.svg,page8-20.svg,page9-39.svg,0.0790200829505921
2SwbchVyeYOZCmYMtVty,-0.0182232577353715,0.6411093473434448,0,1,1,,page5-84.svg,page3-8.svg,page1-125.svg,page3-8.svg,-0.6593326050788163
2UoaKV3NpcnBSv52xtBJ,0.5385257601737976,0.6222213506698608,1,0,1,,page7-166.svg,page4-233.svg,page5-75.svg,page8-11.svg,-0.08369559049606323
2VMFH48yR4IWx4AX4DK8,0.5729218125343323,0.0615195035934448,2,0,0,1.0,page2-145.svg,page4-11.svg,page5-102.svg,page6-97.svg,0.5114023089408875
2YDcm5rWJ1R8Srd55m9W,-0.1688148379325866,0.5343088507652283,0,1,1,,page4-194.svg,page1-133.svg,page7-154.svg,page4-227.svg,-0.7031236886978148
2cMGKBtnHITvQQ53DMA4,-0.079872690141201,-0.0673552304506301,1,1,0,,page7-10.svg,page5-198.svg,page4-92.svg,page4-183.svg,-0.0125174596905709
2erO6ndsI59ww6rCqDQD,0.000565537251532,-0.0554133243858814,0,2,0,0.0,page2-65.svg,page4-194.svg,page1-186.svg,page9-36.svg,0.055978861637413405
2fR6bLKgM38D9GtvCxF9,0.0059942407533526,-0.0918668583035469,0,2,0,0.0,page9-14.svg,page7-80.svg,page3-95.svg,page5-45.svg,0.0978610990568995
2jLGAmuGPsaPl6X6ovUc,0.0067424164153635,0.3466709852218628,0,1,1,,page5-145.svg,page3-37.svg,page7-191.svg,page4-214.svg,-0.3399285688064993
2jdFk7NXL6genjISkq3o,0.0650921165943145,0.075003981590271,2,0,0,1.0,page3-171.svg,page4-239.svg,page6-165.svg,page5-155.svg,-0.00991186499595649
2kFjPSszM3SkvtdrKqKh,0.2649007439613342,0.3708946406841278,0,2,0,0.0,page5-193.svg,page4-16.svg,page-C.svg,page4-192.svg,-0.10599389672279363
2lKqZX3fo832UcEWgu5X,0.6312327980995178,0.44802325963974,2,0,0,1.0,page2-174.svg,page1-88.svg,page7-59.svg,page5-165.svg,0.18320953845977783
2oavWuDSQshIq9Ao3M3H,0.4129399955272674,0.0083238994702696,1,1,0,,page4-93.svg,page1-129.svg,page4-130.svg,page3-20.svg,0.4046160960569978
2pVEk7f3HQNfo7srLBwS,0.512845516204834,-0.0615284256637096,2,0,0,1.0,page6-135.svg,page4-110.svg,page8-156.svg,page7-133.svg,0.5743739418685436
2uV42awVY2utOREAtD8O,0.0230419542640447,0.3886250555515289,2,0,0,1.0,page6-70.svg,page9-20.svg,page7-36.svg,page8-184.svg,-0.36558310128748417
3237IFalXIzo4lD8hlKZ,-0.0418570861220359,-0.0953679457306861,0,2,0,0.0,page7-209.svg,page2-21.svg,page4-92.svg,page3-124.svg,0.05351085960865021
32Akp7pn3avBOs5Com2O,0.5486175417900085,-0.0227408818900585,2,0,0,1.0,page7-137.svg,page7-177.svg,page6-155.svg,page6-71.svg,0.5713584236800671
32Wv90kma5hAxPJ7cARW,-0.1167114451527595,1.0,0,0,2,-1.0,page3-123.svg,page8-56.svg,page3-170.svg,page3-170.svg,-1.1167114451527596
35UJ9dXQvyKbe17IuA3t,0.7069204449653625,0.5399166345596313,0,0,2,-1.0,page8-63.svg,page8-246.svg,page1-159.svg,page1-112.svg,0.1670038104057312
36dnKyGg9hEGdrYk1BmR,0.1476764231920242,0.1786463111639022,0,2,0,0.0,page8-236.svg,page5-59.svg,page4-150.svg,page4-242.svg,-0.030969887971877996
38Stp6DNgJU4c8kDS8oU,-0.2150541096925735,1.0,0,0,2,-1.0,page6-218.svg,page1-125.svg,page7-10.svg,page7-10.svg,-1.2150541096925735
3Ab7AgSUo1hUgES1B381,0.6769879460334778,0.2160205990076065,2,0,0,1.0,page4-92.svg,page5-87.svg,page9-27.svg,page4-118.svg,0.4609673470258713
3GVAcNXWKWDriXTqaeS7,-0.0324272364377975,-0.06365417689085,1,1,0,,page1-113.svg,page3-124.svg,page5-232.svg,page4-74.svg,0.0312269404530525
3LikZlhSLYqufWssohIQ,0.0814227983355522,0.3752399384975433,0,0,2,-1.0,page5-106.svg,page8-213.svg,page3-99.svg,page1-51.svg,-0.29381714016199106
3MRwNSICQVyb9ForRTev,-0.0495562553405761,0.6769879460334778,0,0,2,-1.0,page5-220.svg,page4-183.svg,page4-92.svg,page5-87.svg,-0.7265442013740538
3Q6bJqKvez8hSy8zcrtX,0.3604495525360107,0.1985228359699249,1,0,1,,page8-240.svg,page6-94.svg,page1-178.svg,page7-103.svg,0.1619267165660858
3RlTLbVYRDGzAfY615Tk,-0.1012734994292259,0.3978582620620727,0,0,1,-1.0,page5-75.svg,page1-171.svg,page4-197.svg,page6-234.svg,-0.49913176149129856
3U4hz3h1pHkzWrGvB2vX,0.3992749452590942,1.0,0,0,2,-1.0,page-C.svg,page5-106.svg,page7-52.svg,page7-52.svg,-0.6007250547409058
3Xy2EOXIGBaT7xSdAUZS,0.7851441502571106,0.5303627252578735,1,1,0,,page4-16.svg,page3-207.svg,page6-123.svg,page7-73.svg,0.25478142499923706
3ZSoYxPMEBzgK5FxXZ5L,0.4867604076862335,-0.0910126939415931,2,0,0,1.0,page5-182.svg,page2-182.svg,page4-16.svg,page7-247.svg,0.5777731016278266
3abWwGkSRNvD4N8N7web,1.0,1.0,0,0,1,-1.0,page5-142.svg,page5-142.svg,page2-129.svg,page2-129.svg,0.0
3cJFP01wUFzWBpBOU6T6,0.3644135296344757,0.4363781809806824,1,0,0,1.0,page1-73.svg,page9-23.svg,page3-23.svg,page6-216.svg,-0.07196465134620667
3dQnqPCCNNsdD0QpfePj,-0.1361997723579406,0.7378087639808655,0,1,0,0.0,page3-171.svg,page4-249.svg,page7-41.svg,page7-39.svg,-0.874008536338806
3evzUFjhvRPooJ08A818,0.2269188910722732,0.3153007328510284,0,0,2,-1.0,page7-16.svg,page7-88.svg,page7-252.svg,page5-87.svg,-0.08838184177875519
3ilUgVSUIVs1orv6RqKg,0.5593881011009216,-0.0153193389996886,1,0,0,1.0,page4-237.svg,page6-202.svg,page8-179.svg,page1-103.svg,0.5747074401006103
3jF0wDyUWRSCRfJIXMtf,0.404067724943161,0.2049680948257446,0,1,1,,page6-72.svg,page6-21.svg,page9-4.svg,page3-45.svg,0.1990996301174164
3kZ6yz3s8IhwcAhpwZxV,-0.0765532329678535,0.4467754364013672,0,1,1,,page7-234.svg,page3-199.svg,page1-119.svg,page5-37.svg,-0.5233286693692207
3lASUB0xlUpQMTcfHHnX,0.7482473254203796,-0.0198611430823802,1,0,0,1.0,page3-60.svg,page2-54.svg,page5-198.svg,page9-42.svg,0.7681084685027598
3maCV8QIJOBMRzLjOr6B,0.0265381392091512,-0.1511119455099105,0,1,0,0.0,page7-234.svg,page7-22.svg,page3-71.svg,page7-10.svg,0.17765008471906168
3oNMujXB00l5XDexSbfS,0.4448367655277252,0.7061623930931091,0,1,0,0.0,page9-29.svg,page3-4.svg,page8-192.svg,page1-168.svg,-0.2613256275653839
3obDqyZA3cGNBhWhev4v,0.4867604076862335,1.0,0,0,1,-1.0,page5-182.svg,page2-182.svg,page6-6.svg,page6-6.svg,-0.5132395923137665
3ounjZilksBYTbMKmFp0,0.6019748449325562,0.5535995960235596,0,1,0,0.0,page1-85.svg,page7-16.svg,page8-54.svg,page-L.svg,0.04837524890899658
3r08v5aw4eWpAvNr5ogj,0.2029219716787338,0.2305729240179062,0,1,0,0.0,page3-193.svg,page1-116.svg,page3-133.svg,page4-20.svg,-0.02765095233917239
3svZygKXc0hjbIj5gjAV,0.00717653054744,0.7276832461357117,0,0,1,-1.0,page3-43.svg,page5-65.svg,page4-3.svg,page3-203.svg,-0.7205067155882716
3xaPyae3lb8C1iklLrAK,0.3509619832038879,0.5861603021621704,0,0,1,-1.0,page6-162.svg,page3-45.svg,page2-145.svg,page4-56.svg,-0.23519831895828253
3yPNIxFtVYonkbFq2SIM,0.1700535863637924,0.6398337483406067,0,0,1,-1.0,page1-103.svg,page5-233.svg,page4-232.svg,page5-193.svg,-0.46978016197681427
40xnYTsPNfB4jTTctYci,0.5478112697601318,0.122554175555706,0,1,0,0.0,page2-155.svg,page7-236.svg,page6-192.svg,page9-44.svg,0.4252570942044258
411Qd5WohD2OUYsl9SnS,0.6663876175880432,-0.0482131764292717,1,0,0,1.0,page4-64.svg,page4-66.svg,page1-57.svg,page3-207.svg,0.7146007940173149
48NYWrJoMx9eqeVLzVqm,0.4596490263938904,0.3919314444065094,0,1,0,0.0,page4-113.svg,page1-129.svg,page9-34.svg,page7-46.svg,0.06771758198738098
4CTXG7MJykSvaIDMDRjJ,0.0346294641494751,-0.1103871241211891,0,1,0,0.0,page8-216.svg,page7-15.svg,page4-15.svg,page8-41.svg,0.14501658827066422
4DzI2Yua9TtARELg3s9c,0.745482325553894,0.3158750236034393,1,0,0,1.0,page3-198.svg,page4-11.svg,page7-10.svg,page1-118.svg,0.42960730195045477
4EszIhcpZGpA6xZYPNQx,0.6879882216453552,0.3098478615283966,1,0,0,1.0,page8-240.svg,page1-25.svg,page8-156.svg,page7-17.svg,0.3781403601169586
4LZ4bzziWQnmyeoKQHAl,-0.0126574486494064,0.5551890730857849,0,1,0,0.0,page1-16.svg,page2-21.svg,page2-134.svg,page4-74.svg,-0.5678465217351913
4Q1FqMvYoSvORwolLLy2,0.2902754247188568,-0.1434736847877502,1,0,0,1.0,page5-58.svg,page1-76.svg,page4-89.svg,page3-188.svg,0.433749109506607
4QfWM0uPBipuusRCWx5P,0.3836750388145447,0.0773514583706855,0,1,0,0.0,page2-166.svg,page7-17.svg,page8-180.svg,page7-5.svg,0.3063235804438592
4RHf8RuTOy6H1ZsR7Gma,0.7143585681915283,-0.0727943703532219,1,0,0,1.0,page5-134.svg,page3-8.svg,page2-155.svg,page2-88.svg,0.7871529385447502
4YyUhFaMYQ71MZKYGUXM,-0.2289080619812011,0.691278338432312,0,0,1,-1.0,page2-48.svg,page4-177.svg,page7-39.svg,page7-35.svg,-0.9201864004135131
4aJna54F5rrBvRISuW5a,0.3735939562320709,-0.0753899961709976,1,0,0,1.0,page2-166.svg,page3-124.svg,page7-251.svg,page3-34.svg,0.44898395240306854
4bvnXegO1m1HNRbHTYRI,0.5236685872077942,0.4831463992595672,1,0,0,1.0,page1-72.svg,page9-40.svg,page6-31.svg,page2-164.svg,0.040522187948226984
4dwoSApR6YuxG6idQip2,0.600763738155365,-0.0782993510365486,1,0,0,1.0,page9-42.svg,page1-66.svg,page4-16.svg,page2-39.svg,0.6790630891919136
4mf0WICdBxL59QY5hEPd,0.5661512613296509,0.4186998307704925,1,0,0,1.0,page7-84.svg,page1-48.svg,page2-48.svg,page9-20.svg,0.14745143055915838
4wcsvJhB3VsjyIPFJ2nO,0.7185074687004089,0.7044152617454529,0,1,0,0.0,page3-56.svg,page4-239.svg,page5-86.svg,page5-84.svg,0.014092206954956055
51s9GZ2OTaZ7as2jRMiv,0.5599146485328674,-0.0831823572516441,1,0,0,1.0,page2-100.svg,page3-21.svg,page7-17.svg,page5-60.svg,0.6430970057845116
538g7BiwLJ1EbP0tsmtp,0.5535370111465454,-0.0223922859877347,0,1,0,0.0,page1-105.svg,page5-233.svg,page3-20.svg,page1-133.svg,0.5759292971342801
56Od3D3mLs99iCN5vX0W,0.8656717538833618,1.0,0,0,1,-1.0,page5-81.svg,page4-92.svg,page5-174.svg,page5-174.svg,-0.13432824611663818
57YMKel6RZHEEQEqv6qe,0.4440237581729889,0.4751742780208587,1,0,0,1.0,page8-118.svg,page6-50.svg,page3-133.svg,page5-252.svg,-0.031150519847869818
59HNRU3fcQ2uVurMc9p4,0.008561672642827,-0.0408984497189521,0,1,0,0.0,page3-198.svg,page3-69.svg,page6-165.svg,page5-81.svg,0.0494601223617791
59Qd8jYz0Caz1juhnu97,-0.006577733438462,0.1389836072921753,0,1,0,0.0,page5-96.svg,page7-85.svg,page7-234.svg,page7-216.svg,-0.14556134073063728
5GxMojsj7ALYsUxSkTlR,0.6392082571983337,0.1035568118095398,1,0,0,1.0,page5-80.svg,page5-85.svg,page6-162.svg,page5-57.svg,0.535651445388794
5HDIaWdQu5rb8CVJHeyq,0.401549756526947,-0.0482408292591571,1,0,0,1.0,page3-59.svg,page4-214.svg,page6-31.svg,page8-46.svg,0.4497905857861041
5Hp9CluQXxpwHl5XH9R4,0.5662588477134705,-0.1050688922405242,1,0,0,1.0,page8-166.svg,page9-17.svg,page1-72.svg,page8-165.svg,0.6713277399539946
5JEe0tC9RA6HiRozRML8,0.1126280128955841,0.3933693766593933,0,1,0,0.0,page2-155.svg,page8-56.svg,page3-57.svg,page3-168.svg,-0.2807413637638092
5MUcJ7F0p4KxeM4V5qTq,0.0514085218310356,0.3166734874248504,0,0,1,-1.0,page7-97.svg,page2-155.svg,page7-86.svg,page6-171.svg,-0.2652649655938148
5SEhCnKpaJw9grdsOKI7,0.0190508961677551,-0.036521915346384,0,1,0,0.0,page5-18.svg,page2-182.svg,page8-152.svg,page5-71.svg,0.0555728115141391
5ZiBXIJqF1NYLRXBpY9h,0.4002255797386169,0.7707220315933228,0,0,1,-1.0,page6-226.svg,page6-97.svg,page2-157.svg,page1-90.svg,-0.37049645185470587
5aTSYS0f2cn0CLCTS0Rs,0.3882719874382019,0.3437552750110626,0,1,0,0.0,page4-201.svg,page3-171.svg,page9-34.svg,page6-52.svg,0.04451671242713928
5ajMaWKsK0tlZdM06eLC,0.5632761716842651,0.0540369525551795,0,1,0,0.0,page4-180.svg,page6-149.svg,page9-7.svg,page6-27.svg,0.5092392191290857
5an5J4OZylNEJWMQaUVh,0.0202725976705551,0.4623669981956482,0,1,0,0.0,page6-168.svg,page7-205.svg,page4-165.svg,page7-28.svg,-0.4420944005250931
5dpNWkXViOA52G4gsWNF,1.0,-0.1368462741374969,1,0,0,1.0,page2-137.svg,page2-137.svg,page6-80.svg,page2-166.svg,1.136846274137497
5gHwVcr9g28ktDsA4F6D,0.3789400458335876,-0.0325489863753318,1,0,0,1.0,page7-36.svg,page7-205.svg,page9-42.svg,page6-164.svg,0.4114890322089194
5jHvHSwEqgQyU7VkiX1X,0.0781118422746658,0.2064713537693023,0,0,1,-1.0,page2-39.svg,page6-21.svg,page5-167.svg,page7-13.svg,-0.1283595114946365
5kbBfViIkWJ33LInlOfr,-0.0009008163469843,1.0,0,0,1,-1.0,page1-90.svg,page5-123.svg,page5-198.svg,page5-198.svg,-1.0009008163469844
5leaXgD9fcvSlVx4tPwq,-0.002174079651013,0.6132632493972778,0,0,1,-1.0,page5-102.svg,page6-171.svg,page5-123.svg,page9-7.svg,-0.6154373290482908
5qBHuyLaJzbIVNrC0E5s,-0.0945083871483802,-0.2200136184692382,0,1,0,0.0,page6-94.svg,page3-122.svg,page8-236.svg,page1-75.svg,0.125505231320858
5zJP27nmajKaV6kyPWB8,-0.0447266139090061,0.5844006538391113,0,0,1,-1.0,page8-235.svg,page7-33.svg,page2-39.svg,page7-23.svg,-0.6291272677481174
5zU6a6Qto19U36XNmHWn,0.4474806189537048,-0.1114871427416801,1,0,0,1.0,page4-140.svg,page6-13.svg,page2-42.svg,page7-122.svg,0.5589677616953849
61uKQv0D1ysv97YtEGX9,0.1411199271678924,0.5252518057823181,1,0,0,1.0,page5-145.svg,page7-8.svg,page6-73.svg,page6-240.svg,-0.3841318786144257
64nkjM0AbfDKCWtMB0c1,0.3019051849842071,-0.0469943434000015,1,0,0,1.0,page8-30.svg,page7-229.svg,page1-148.svg,page9-23.svg,0.34889952838420857
652w2cKmQ8Pp7Wc5Xica,-0.1084940433502197,0.4521737992763519,0,0,1,-1.0,page8-142.svg,page5-80.svg,page4-202.svg,page6-167.svg,-0.5606678426265715
65xvW3GmUm9fQzCWMUMl,0.5963009595870972,0.0869152173399925,0,0,1,-1.0,page6-94.svg,page6-96.svg,page7-242.svg,page5-233.svg,0.5093857422471046
69Ic1dXZwFIKNy9uhgHR,0.0577734857797622,-0.1206588521599769,0,1,0,0.0,page7-158.svg,page1-162.svg,page9-39.svg,page4-232.svg,0.17843233793973912
6AvUMSiySAaPWhi9AptQ,0.1032426133751869,0.3660416603088379,0,1,0,0.0,page3-198.svg,page4-217.svg,page6-168.svg,page6-86.svg,-0.26279904693365097
6EgsVtOBf6RIC7X12JYZ,0.6761398911476135,0.4598132073879242,1,0,0,1.0,page5-85.svg,page5-96.svg,page6-123.svg,page6-160.svg,0.21632668375968933
6HWxjnSzRXGNjjMGNi8I,-0.1116001158952713,0.1490826308727264,0,1,0,0.0,page8-54.svg,page3-8.svg,page5-0.svg,page5-174.svg,-0.26068274676799774
6IHGQQsJSlUKotpHWXdx,0.6835475564002991,0.1171093061566352,1,0,0,1.0,page7-16.svg,page1-45.svg,page4-92.svg,page7-10.svg,0.5664382502436639
6P5ZK5csi7yHBqS1ghjL,-0.1395463943481445,0.6056454181671143,0,0,1,-1.0,page2-86.svg,page6-50.svg,page6-117.svg,page7-230.svg,-0.7451918125152588
6PNF91i21XUgtG0sCySp,0.6324866414070129,0.657787561416626,0,0,1,-1.0,page3-43.svg,page8-11.svg,page7-76.svg,page2-65.svg,-0.025300920009613037
6Rbn0Up2IhTfaIydYiXj,0.5108299851417542,0.2092785090208053,1,0,0,1.0,page9-27.svg,page1-66.svg,page8-235.svg,page4-96.svg,0.30155147612094885
6Tt6u6f82ker0jYHWMPh,0.4003556668758392,0.4209293723106384,1,0,0,1.0,page5-120.svg,page6-205.svg,page3-120.svg,page4-157.svg,-0.02057370543479925
6UVhsWS9LISESs46WE7h,1.0,-0.2330610305070877,1,0,0,1.0,page5-121.svg,page5-121.svg,page3-57.svg,page8-204.svg,1.2330610305070877
6VzeKhZZh0FTAqqjXjUb,-0.0404193326830863,0.7851441502571106,0,0,1,-1.0,page4-118.svg,page4-30.svg,page3-207.svg,page4-16.svg,-0.8255634829401969
6YwXE2Wa2rhpJCF3mFwK,0.1135705187916755,0.4252964556217193,0,1,0,0.0,page7-44.svg,page1-70.svg,page7-252.svg,page4-212.svg,-0.3117259368300438
6dAwe3h0RhuUxc7z2Tag,0.463280975818634,0.5499857664108276,0,0,1,-1.0,page8-164.svg,page6-24.svg,page6-70.svg,page6-78.svg,-0.08670479059219366
6dCGsswA1KedoEqOlOC6,-0.0921707078814506,0.6958683133125305,0,0,1,-1.0,page2-32.svg,page6-171.svg,page6-38.svg,page7-102.svg,-0.7880390211939812
6he8h2ApFBex3u0sNGJ6,0.0069427569396793,0.4670893251895904,0,1,0,0.0,page6-208.svg,page4-192.svg,page2-42.svg,page5-102.svg,-0.4601465682499111
6lp5IrJcz15JLwVWzLfw,0.5510205626487732,0.611268937587738,0,0,1,-1.0,page7-85.svg,page3-157.svg,page6-122.svg,page5-248.svg,-0.060248374938964844
6pBXMR5L2POKTa6Vi4f0,0.0290339775383472,0.5057229399681091,0,1,0,0.0,page2-54.svg,page7-85.svg,page5-43.svg,page2-37.svg,-0.47668896242976194
6pNQtCozPNYeJWeWVgah,0.4080944657325744,0.6716928482055664,0,0,1,-1.0,page7-109.svg,page7-107.svg,page8-2.svg,page8-204.svg,-0.263598382472992
