,block,snd_value,snd_class,sec_until_click,correct,controlled,response,game_id,speaker_desc,speaker_len,listener_desc,listener_len,total_len,chat_len,target
33,3,0.933333333333333,high,1,True,True,page7-92.svg,WYGLaqqjz2oKmegF5,"['man with triangle head in centre', 'looks a bit like a scarecrow', 'small sqaure arms', 'yes']",16,['kinda looks like a cross'],5,21,5,page7-92.svg
34,3,0.988888888888889,high,1,True,False,page7-105.svg,WYGLaqqjz2oKmegF5,"['small square on top', 'even m on bottom', 'yeah thats the one']",12,['white m shape underneath’'],4,16,4,page7-105.svg
35,0,0.8,low,23,False,False,page3-143.svg,nQnmTcmPRnKH8eCar,"['Big Bird long neck', 'turned to the left  yes square feet', 'I mean turned to the right']",18,['square feet'],2,20,4,page2-155.svg
36,3,0.874074074074074,high,3,True,False,page2-40.svg,HXJ8rqCutqjpvfhNp,['‘capital j with square in the middle'],7,[''],1,8,2,page2-40.svg
37,1,0.977777777777778,high,2,True,False,page2-166.svg,rMgoeNprYSWQMKzwi,"['looks like a pair of tongs that are opened wide with wide legs', 'that looks like the top of an x on top of the tongs', 'yes']",27,"['What now', 'Kind of tshirt on top']",7,34,5,page2-166.svg
38,1,0.977777777777778,high,14,False,False,page4-193.svg,RioKfCbKjZsCqiEW4,"['half a bowl sticking out the left size with triangles surrounding it', 'left side', 'sitting halfway up', 'on the left side', 'triangle cut into the bottom left']",27,[''],1,28,6,page7-30.svg
39,2,0.894074074074074,high,2,True,True,page3-206.svg,7aSBLC67wzDw4kuC6,"['Kicking to the right with two ears', 'Looks like a fox head', 'One foot on floor', 'Kicking to the right with one foot on floor with a fox shaped head with two ears']",33,[''],1,34,5,page3-206.svg
40,2,0.672222222222222,low,5,True,False,page5-174.svg,7aSBLC67wzDw4kuC6,"['Someone kicking to the right', 'Diamond shaped head', 'A', 'Squared head']",11,['Square head'],2,13,5,page5-174.svg
41,4,0.961111111111111,high,1,True,False,page7-16.svg,WYGLaqqjz2oKmegF5,"['crab claw', 'Housey shape']",4,[''],1,5,3,page7-16.svg
42,0,0.961111111111111,high,2,True,False,page7-16.svg,WYGLaqqjz2oKmegF5,"['looks like a crab claw facing downwards', 'top part looks like a house shape', 'yes']",15,"['shape on bottom', 'white triangle on bottom']",7,22,5,page7-16.svg
43,0,0.966666666666667,high,2,True,False,page3-37.svg,HQfR6YA7JXPhQfRkC,"['Bottle shaped', 'yes', 'yes']",4,"['like a vase', 'a flower pot']",6,10,5,page3-37.svg
44,4,0.985185185185185,high,4,True,False,page6-198.svg,nBQixTvaWeN8mKaKE,"['a tent with a small bucket on top', 'tent with a small opening', 'at the bottom']",16,[''],1,17,4,page6-198.svg
45,4,0.533333333333333,low,2,True,True,page2-131.svg,nBQixTvaWeN8mKaKE,['hammer with a small triangle on the body'],8,[''],1,9,2,page2-131.svg
46,2,0.988888888888889,high,1,True,False,page3-124.svg,AJeR4M8XggMLd6gDT,"['the pharoah', 'egypt', 'king tut', 'yes']",6,['upside down U pharaoh'],4,10,5,page3-124.svg
47,0,0.933333333333333,high,19,True,False,page6-111.svg,y8xxpBGbhhSLNEqWm,['This one looks like a spatula with a very abnormal handle The left of the spatula looks like a right angle triangle'],22,[''],1,23,2,page6-111.svg
48,2,1.0,high,2,True,False,page5-120.svg,QoqK9Shwdm5bsFunw,"['arrow looking thing at the bottom', 'leaf']",7,['flat or spoon'],3,10,3,page5-120.svg
49,4,0.891666666666667,high,2,True,False,page1-142.svg,fKvArAtnu3mpJehJv,['factory with pointy roof'],4,['The duck laying on eggs was what i was wondering if someone would understand'],14,18,2,page1-142.svg
50,0,0.672222222222222,low,7,False,False,page5-40.svg,2ZnY22dPDKc2ByrNc,['This one is a black square on the top'],9,[''],1,10,2,page5-174.svg
51,1,0.922222222222222,high,2,False,False,page3-163.svg,HQfR6YA7JXPhQfRkC,"['a human with swayback posture arched back', 'no', 'standing', 'their back is arched']",13,['sitting'],1,14,5,page8-152.svg
52,0,0.939814814814815,high,2,True,False,page3-71.svg,AJeR4M8XggMLd6gDT,"['is looks kind of like a small boat facing left', 'theres a little lip on it and it is squared off on the right', 'yes']",25,['the big rectangle with a triangle on the left'],9,34,4,page3-71.svg
53,3,1.0,high,9,True,False,page9-34.svg,Ey4pCxGb8v6ESQ9uS,['yes fox wouldve been a better way to see that’ two triangles pointing right left side flat'],17,[''],1,18,2,page9-34.svg
54,0,1.0,high,3,True,False,page5-120.svg,Ey4pCxGb8v6ESQ9uS,"['kinda chicken looking shape two horns pointing to right lower than that is a triangle pointing down bottom is a parrallelogram', 'topmost shape is a square']",26,"['ok on the top', 'is there a square', 'ok']",9,35,5,page5-120.svg
55,0,0.992592592592593,high,14,True,True,page1-72.svg,XdB7x8iMPdiJz7J7x,"['looks like a chess piece', 'like a knight chess', '2 arrows sticking out its sides']",15,['not sure'],2,17,4,page1-72.svg
56,4,0.933333333333333,high,1,True,True,page7-92.svg,4zdxXGnJJGTT8KnwG,"['a rocket flat base', 'not the chimney', 'yes']",8,['is there T in the middle'],6,14,4,page7-92.svg
57,1,0.965277777777778,high,4,True,False,page3-193.svg,4zdxXGnJJGTT8KnwG,"['Diamond ring giant diamond', 'omit the ring', 'nope']",8,['greande'],1,9,4,page3-193.svg
58,2,1.0,high,4,True,False,page7-226.svg,CpJGt4uGAbhSL928Q,"['bulky one', 'fat rocket poiting up and left']",8,"['more info please', 'is there a square on top']",9,17,4,page7-226.svg
59,4,0.92037037037037,high,4,True,True,page8-11.svg,vjTTSvQWvJTA9TZiu,"['snake standing upright', 'with a small right triangle underneath', 'could be a bird']",13,['Looks like a bird too facing right'],7,20,4,page8-11.svg
60,0,0.944444444444445,high,3,True,False,page4-177.svg,WYGLaqqjz2oKmegF5,"['looks like a giraffe', 'long neck', 'triangle head', 'square feel']",10,[''],1,11,5,page4-177.svg
61,2,0.777777777777778,low,4,True,False,page5-145.svg,HXJ8rqCutqjpvfhNp,"['a bird flying towards you', 'three triangle at the top']",10,[''],1,11,3,page5-145.svg
62,0,0.988888888888889,high,10,False,False,page1-128.svg,oC528mJu5HCE7rpuW,"['side view of a lounge chair', 'like the angled back view of the chair', 'from a upward angle']",18,['more please'],2,20,4,page7-219.svg
63,1,0.848148148148148,low,4,False,False,page6-224.svg,Toh9L3sPeXKpvY4Rz,"['diamond at the top', 'other one', 'campfire']",7,['Theres two the one looking like a tilted square or the other one'],13,20,4,page3-99.svg
64,2,0.844444444444445,low,3,True,False,page4-156.svg,LYvnioYGtCpdKE5y2,"['Flat surface', 'flat surface like a bed', 'knife']",8,['Like mountain range'],3,11,4,page4-156.svg
65,0,0.840740740740741,low,4,True,False,page4-16.svg,7aSBLC67wzDw4kuC6,"['Square shaped head facing left', 'One leg up one leg down']",11,['Kicking to the left'],4,15,3,page4-16.svg
66,0,0.8,low,5,False,False,page6-6.svg,QrFwHQDosuyFWkzWx,"['It looks like the back of a truck with a chute pointing to the right', '3 squares', 'One large and two small']",22,['anything else'],2,24,4,page2-155.svg
67,2,0.92962962962963,high,2,True,True,page6-218.svg,NrMLccbNao9XPX7Pr,"['it looks like a arrow poiting up', 'and it is thick', 'yes']",12,['and slanted to the left'],5,17,4,page6-218.svg
68,0,0.955555555555556,high,7,True,True,page8-118.svg,gMQBocS2BM9XmeiN2,"['close up of scrappy doo or mufasa facing left', 'a man looking to the left with a beard', 'its just a head and neck facing left']",26,[''],1,27,4,page8-118.svg
69,0,0.988888888888889,high,2,True,False,page7-105.svg,WYGLaqqjz2oKmegF5,"['looks like a guy with a square head crouching down', 'big arms', 'yes']",13,['m sign in centre bottom'],5,18,4,page7-105.svg
70,4,0.988888888888889,high,2,True,False,page7-105.svg,WYGLaqqjz2oKmegF5,"['white m underneath', 'small black square shape in middle', 'yeah']",10,['even'],1,11,4,page7-105.svg
71,2,0.874074074074074,high,5,True,False,page2-40.svg,HXJ8rqCutqjpvfhNp,"['the letter j', 'with a square in the middle', 'capital j']",11,[''],1,12,4,page2-40.svg
72,0,0.992592592592593,high,12,False,False,page6-168.svg,LYvnioYGtCpdKE5y2,"['Select the one that looks oval', 'Its oval']",8,"['Need more please', 'Like a bridge']",6,14,4,page8-217.svg
73,4,0.977777777777778,high,9,True,True,page4-166.svg,ea6efpMT4GLuFawB2,"['thr letter r fallen down to the right', 'on its face', 'r', 'r']",13,[''],1,14,5,page4-166.svg
74,1,0.807037037037037,low,2,True,False,page6-181.svg,pSYzHChWFeCNcu2Bv,"['Its a man walking to the left', 'he has triangle feet', 'yes']",12,['Is he hunched over'],4,16,4,page6-181.svg
75,4,0.9,high,5,False,True,page6-141.svg,aLT3NYxYWHxNWHpsN,"['low table with two pointy things on top', 'wait', 'square head', 'like a person doing the moon walk']",18,[''],1,19,5,page8-148.svg
76,0,1.0,high,3,True,False,page7-166.svg,RioKfCbKjZsCqiEW4,"['Small triangle with bigger image', 'at the top', 'bowl']",9,['a bowl on top or a square'],7,16,4,page7-166.svg
77,0,1.0,high,14,True,True,page7-191.svg,6nS7fWuc5xZoxKWvD,"['We are looking at a shape which takes up half the box from the top to the bottom in a big line', 'It has a triangle sticking out the siide']",30,[''],1,31,3,page7-191.svg
78,3,0.992592592592593,high,6,True,False,page3-128.svg,HXJ8rqCutqjpvfhNp,"['one', 'planter', 'with pointy base and funnel on top']",9,[''],1,10,4,page3-128.svg
79,0,0.922222222222222,high,5,False,False,page4-232.svg,nZKdYx449jxPJRmdo,['Upside down triangle on the left next to an upright triangle and the little triangle on the right'],18,[''],1,19,2,page7-196.svg
80,0,0.985185185185185,high,11,False,False,page4-202.svg,ovxMKmT3ueGohm4Gw,"['right angle arrow up', 'right angle arrow up', 'yes']",9,['what do you think it most looks like'],8,17,4,page6-198.svg
81,1,0.922222222222222,high,2,True,True,page5-199.svg,WYGLaqqjz2oKmegF5,"['3 triangle pointing left', 'looks like a thin man with triangle head', 'yes']",13,['is it fairly long'],4,17,4,page5-199.svg
82,3,0.971851851851852,high,25,True,True,page4-237.svg,jN767K8sXvqrSmFwu,"['a diamond with a jagged rectangle on top of it', 'like an upside down ribbon medal', 'it looks like a tall building', 'the longest one out of all of them with a jagged top']",34,[''],1,35,5,page4-237.svg
83,1,0.965277777777778,high,5,False,True,page1-83.svg,rD3tT6TFviEKWgKY3,"['looks like an upside down lightsaber hilt', 'like a cup', 'shallow upside down cup']",14,['sorry need more'],3,17,4,page3-193.svg
84,0,0.777777777777778,low,8,True,False,page5-145.svg,HXJ8rqCutqjpvfhNp,"['a bird in flight', 'flying straight towards you', 'three small triangles on top']",13,['going straight up'],3,16,4,page5-145.svg
85,3,0.992592592592593,high,5,True,True,page3-23.svg,jtAxitc55Avdzyx7C,"['looks like a detective hiding into his coat', 'pentagon on top', 'with a pentagon facing down', 'and two squares at bottom facing at a 45 degree angle']",27,[''],1,28,5,page3-23.svg
86,0,0.97037037037037,high,10,True,True,page5-200.svg,jtAxitc55Avdzyx7C,"['looks like a womans head with a top bun and triangle as a neck', 'diamond ontop']",16,[''],1,17,3,page5-200.svg
87,1,0.966666666666667,high,13,True,True,page6-105.svg,7c2XQwFP7pYAuQRhh,"['a big triangle on the right side than a smaller triangle', 'than a rectangle on the left', 'slightly tilted', 'a rectangle on the left side then two triangles']",28,[''],1,29,5,page6-105.svg
88,4,0.938888888888889,high,3,True,False,page1-40.svg,eMo6TEfxyJ6wjC63Z,"['stealth not very stealthy tho', 'its not sharp']",8,['so the pointy one or not'],6,14,3,page1-40.svg
89,0,0.993518518518519,high,2,True,False,page5-63.svg,AJeR4M8XggMLd6gDT,"['it looks like a pyramid to the right of an italicized square  i forget the name of the shape', 'big triangle on the right', 'yes']",26,['the pyramid with the rhom whatever its called'],8,34,4,page5-63.svg
90,0,0.977777777777778,high,8,False,False,page5-174.svg,2ZnY22dPDKc2ByrNc,"['This one is a black triangle on top', 'it looks like a robot', 'its all black']",16,[''],1,17,4,page4-103.svg
91,2,0.977777777777778,high,6,True,False,page5-182.svg,N6BXBSAYYi6zYc2DW,['it another one that doesnt look like anything but has 3 triangles pointing up at top'],16,[''],1,17,2,page5-182.svg
92,0,0.75,low,6,True,True,page2-165.svg,y8xxpBGbhhSLNEqWm,['this one looks like a boat or a little sailor hat with a triangle in the middle'],17,[''],1,18,2,page2-165.svg
93,0,0.977777777777778,high,10,True,False,page7-17.svg,zNpg8HsnaSnvMZYon,"['a high heel boot facing right', 'left', 'not right', 'left']",10,[''],1,11,5,page7-17.svg
94,3,0.985185185185185,high,9,True,False,page6-198.svg,nBQixTvaWeN8mKaKE,"['an upside down triangle', 'at the top', 'with a', 'with two fat legs']",13,[''],1,14,5,page6-198.svg
95,0,0.761111111111111,low,1,True,False,page7-10.svg,5zavZ7Wzuj8LSHeSM,"['Looks like a head of a galactic being', 'one single point at the top', 'yes thats right']",17,['Pointy ears either side'],4,21,4,page7-10.svg
96,1,0.933333333333333,high,21,False,False,page7-234.svg,XSQXte7Rd8L9hwyFc,"['Fancier boat pointing up left', 'positioned diagonally', 'top left to bottom right']",12,['more info pls'],3,15,4,page5-122.svg
97,0,1.0,high,1,False,False,page6-185.svg,QoqK9Shwdm5bsFunw,"['Right of the fish looking thing', 'looks like an arrow']",10,['there isnt one on the right'],6,16,3,page5-120.svg
98,0,0.983333333333333,high,3,True,False,page2-124.svg,HQfR6YA7JXPhQfRkC,"['an arrown vertical', 'yes']",4,"['with a square behind it', 'pointing down']",7,11,4,page2-124.svg
99,0,0.977777777777778,high,1,True,False,page6-24.svg,y8xxpBGbhhSLNEqWm,['This one looks like the capital letter E'],8,[''],1,9,2,page6-24.svg
100,1,0.744444444444444,low,1,True,False,page5-102.svg,LY3RY7FnYQgDtcQ8g,"['verticle  pointy things facing left', 'yes']",7,"['right side has a middle point', 'single']",7,14,4,page5-102.svg
101,4,0.738888888888889,low,2,True,True,page3-207.svg,fKvArAtnu3mpJehJv,"['Person facing the left with leg up', 'ice skater', 'human']",10,[''],1,11,4,page3-207.svg
102,0,0.892592592592593,high,3,True,False,page1-103.svg,Ey4pCxGb8v6ESQ9uS,"['symmetrical looks a bit like candlestick', 'base is triangle pointing up', 'yes']",12,['on the top are there points on either side'],9,21,4,page1-103.svg
103,2,1.0,high,1,True,False,page5-120.svg,Ey4pCxGb8v6ESQ9uS,"['chicken thing', 'two horns pointing right beak pointing left', 'bottom is parallelogram']",12,['the chicken thing is the one w the square on top right'],12,24,4,page5-120.svg
104,1,1.0,high,11,True,False,page5-120.svg,Ey4pCxGb8v6ESQ9uS,"['square at top with a point facing to the right right below the square', 'no']",15,"['guy sitting down', 'chicken']",4,19,4,page5-120.svg
105,0,0.883333333333333,high,1,True,False,page8-222.svg,tRtHW9n92MkunE5P5,"['looks like a house', 'yes']",5,['with the door cut out'],5,10,3,page8-222.svg
106,2,0.937962962962963,high,4,True,True,page4-15.svg,4zdxXGnJJGTT8KnwG,"['Diamond head', 'small head']",4,['bird like'],2,6,3,page4-15.svg
107,0,0.497222222222222,low,1,True,False,page1-186.svg,tRtHW9n92MkunE5P5,"['has flattest top', 'yes']",4,['looks like a bench'],4,8,3,page1-186.svg
108,0,0.961111111111111,high,11,False,True,page1-148.svg,J3bJDAy4wJYb5e5NE,"['this one is made up of two triangles one on top of the other', 'where the triangles are facing each other so the top and bottom of the shape are flat', 'the shape is symmetrical']",35,[''],1,36,4,page1-113.svg
109,2,0.985185185185185,high,2,True,True,page3-40.svg,tb5z6t6rfTDKhnJ3p,"['rectangle with square attatched to left', 'yes']",7,['like a usb stick'],4,11,3,page3-40.svg
110,1,1.0,high,8,True,False,page6-52.svg,J3bJDAy4wJYb5e5NE,"['looks like a gun kind of', 'pointing to the right']",10,[''],1,11,3,page6-52.svg
111,4,1.0,high,9,True,False,page7-166.svg,tb5z6t6rfTDKhnJ3p,"['flat top on triangle', 'no the other one']",8,['tent'],1,9,3,page7-166.svg
112,2,0.968518518518519,high,4,False,False,page3-110.svg,EptBuMXcjEDCkn4r4,"['pot with handle', 'it looks like it has a handle']",10,['I need another clue'],4,14,3,page4-97.svg
113,0,0.977777777777778,high,14,False,False,page6-168.svg,JgpDLMrAjki4iqFid,"['this kind of looks like a tongue sticking out', 'towards the bottom']",12,['from side ways'],3,15,3,page1-22.svg
114,3,0.755555555555556,low,2,True,False,page7-41.svg,4zdxXGnJJGTT8KnwG,"['boat squared center', 'yarr']",4,['with a roof'],3,7,3,page7-41.svg
115,4,1.0,high,6,True,True,page1-128.svg,oC528mJu5HCE7rpuW,"['havent had this one yet', 'bit like a hook', 'letter C']",11,[''],1,12,4,page1-128.svg
116,0,0.990740740740741,high,3,True,False,page5-220.svg,LeX3Jahr3QGT6aBZi,"['like a vase with an opening at the top', 'cut out']",11,['like a cut out square at top'],7,18,3,page5-220.svg
117,3,0.903703703703704,high,8,True,True,page2-67.svg,HXJ8rqCutqjpvfhNp,"['ice skater with leg up to right and arms out to left', 'no problem this is crazy']",17,[''],1,18,3,page2-67.svg
118,0,0.836111111111111,low,4,True,False,page6-177.svg,RioKfCbKjZsCqiEW4,['Imagine like showing your ding dong'],6,[''],1,7,2,page6-177.svg
119,4,0.961111111111111,high,2,True,False,page1-113.svg,jtAxitc55Avdzyx7C,['small triangle into big triangle'],5,[''],1,6,2,page1-113.svg
120,4,0.97037037037037,high,2,True,False,page1-63.svg,ovxMKmT3ueGohm4Gw,"['soft serve icecream', 'yes']",4,['zig zag edges  both side'],6,10,3,page1-63.svg
121,2,1.0,high,4,True,True,page3-66.svg,jN767K8sXvqrSmFwu,"['the butcher knife', 'the knife pointing left', 'the rectangle with a handle']",12,[''],1,13,4,page3-66.svg
122,2,1.0,high,7,True,True,page7-217.svg,rMgoeNprYSWQMKzwi,['looks like a duck facing left with its head missing only its neck also no feet'],16,[''],1,17,2,page7-217.svg
123,2,0.946296296296296,high,2,True,False,page6-94.svg,t4yc5Zp2TSPejKwW8,"['looks like a bird with their head facing down looking right', 'yes']",12,['the weird one'],3,15,3,page6-94.svg
124,0,0.992592592592593,high,21,True,False,page3-128.svg,HXJ8rqCutqjpvfhNp,"['two columns the bottom one has three triangle at the bottom', 'two columns the bottom one has three triangle at the bottom']",22,[''],1,23,3,page3-128.svg
125,1,1.0,high,3,False,False,page2-165.svg,ysgn3qyCwn9CR8HiY,"['a boat with a sail but its roated 90 degrees', 'basically sideways', 'large rectangle base pentagon on the side']",19,[''],1,20,4,page4-197.svg
126,0,1.0,high,5,True,False,page7-44.svg,gMQBocS2BM9XmeiN2,"['looks like the bottom half of a man just body and legs', 'square body']",14,[''],1,15,3,page7-44.svg
127,0,0.966666666666667,high,13,False,True,page2-59.svg,QrFwHQDosuyFWkzWx,['its the one that looks like an elephant face with a point at the top of its head'],18,[''],1,19,2,page3-123.svg
128,3,0.992592592592593,high,3,True,True,page5-121.svg,6nS7fWuc5xZoxKWvD,"['It looks like an almost circle with a triangle out the top facing left and a triangle out the bottom facing right', 'yeah']",23,['like a hurricane symbol'],4,27,3,page5-121.svg
129,1,0.825925925925926,low,9,True,False,page2-65.svg,3whbtG3epGkWgTWoq,"['boat with a square on top', 'yes']",7,['is the square diagonally pointed'],5,12,3,page2-65.svg
130,4,0.909259259259259,high,2,True,False,page9-16.svg,jtAxitc55Avdzyx7C,['Capitol G'],2,[''],1,3,2,page9-16.svg
131,0,0.533333333333333,low,4,True,False,page6-31.svg,87qTyjteqHhW7Tpkd,"['triangle on bottom', 'curving to upper right', 'long shape']",9,[''],1,10,4,page6-31.svg
