game_id,configuration_file,round_id,trial_index,block,target,snd_value,snd_class,chat_mode,speaker_id,listener_id,context,phase,description,time_to_message,sec_until_click,response,correct,context_id
G041,ref2_pilot5_binned_threads_11_phase2_3.json,R03436,41,0.0,page1-90.svg,0.7888888888888888,low,single-utterance-unidirectional,1,249,"['page6-165.svg', 'page2-156.svg', 'page7-201.svg', 'page1-69.svg', 'page9-20.svg', 'page3-122.svg', 'page2-172.svg', 'page1-90.svg', 'page4-239.svg', 'page5-63.svg']",3,arrow pointing up,9.0,,,,11
G069,ref2_pilot5_binned_threads_15_phase2_3.json,R01719,41,0.0,page8-246.svg,1.0,high,single-utterance-unidirectional,55,189,"['page4-89.svg', 'page1-63.svg', 'page5-60.svg', 'page2-166.svg', 'page9-11.svg', 'page2-37.svg', 'page1-122.svg', 'page1-148.svg', 'page4-157.svg', 'page8-246.svg']",3,like a chinese throwing star with four skinny sides,33.0,,,,15
G138,ref2_pilot5_binned_threads_13_phase2_3.json,R07517,8,1.0,page3-189.svg,0.9055555555555556,high,switch-bidirectional,170,270,"['page5-123.svg', 'page3-189.svg', 'page5-193.svg', 'page7-179.svg', 'page4-97.svg', 'page1-125.svg', 'page2-152.svg', 'page7-234.svg', 'page4-103.svg', 'page8-210.svg']",2,['strange shape'],[14],3.0,page3-189.svg,True,13
G046,ref2_pilot5_binned_threads_7_phase2_3.json,R06103,15,2.0,page7-251.svg,0.9907407407407408,high,switch-bidirectional,230,37,"['page7-161.svg', 'page1-82.svg', 'page4-249.svg', 'page3-198.svg', 'page4-16.svg', 'page7-251.svg', 'page6-52.svg', 'page4-97.svg', 'page3-110.svg', 'page7-234.svg']",2,['dragon'],[6],2.0,page7-251.svg,True,7
G085,ref2_pilot5_binned_threads_6_phase2_3.json,R01612,27,4.0,page6-162.svg,1.0,high,switch-bidirectional,5,285,"['page8-148.svg', 'page4-93.svg', 'page9-46.svg', 'page8-58.svg', 'page1-148.svg', 'page7-32.svg', 'page7-198.svg', 'page1-72.svg', 'page6-192.svg', 'page6-162.svg']",2,['arrow pointing down to triangle'],[15],3.0,page6-162.svg,True,6
G131,ref2_pilot5_binned_threads_4_phase2_3.json,R04871,44,0.0,page1-55.svg,0.9092592592592592,high,single-utterance-unidirectional,32,243,"['page1-76.svg', 'page7-197.svg', 'page7-58.svg', 'page5-56.svg', 'page7-71.svg', 'page9-36.svg', 'page6-207.svg', 'page1-55.svg', 'page6-202.svg', 'page6-9.svg']",3,wide v shape,13.0,,,,4
G014,ref2_pilot5_binned_threads_2_phase2_3.json,R00258,3,0.0,page2-166.svg,0.977777777777778,high,switch-bidirectional,217,158,"['page4-232.svg', 'page4-25.svg', 'page2-112.svg', 'page2-166.svg', 'page4-92.svg', 'page7-10.svg', 'page5-80.svg', 'page8-180.svg', 'page8-65.svg', 'page3-120.svg']",2,"[""It's the one that looks like the entrance to a tent, there is white space in the middle that creates a door""]",[22],8.0,page2-166.svg,True,2
G046,ref2_pilot5_binned_threads_7_phase2_3.json,R04806,34,0.0,page6-243.svg,0.9796296296296296,high,single-utterance-unidirectional,230,37,"['page6-50.svg', 'page3-41.svg', 'page1-42.svg', 'page3-207.svg', 'page3-8.svg', 'page7-172.svg', 'page6-243.svg', 'page3-198.svg', 'page1-85.svg', 'page4-96.svg']",3,upright knife,12.0,,,,7
G057,ref2_pilot5_binned_threads_19_phase2_3.json,R02710,24,3.0,page3-193.svg,0.965277777777778,high,switch-bidirectional,148,254,"['page5-80.svg', 'page6-168.svg', 'page1-22.svg', 'page7-59.svg', 'page2-112.svg', 'page8-169.svg', 'page3-24.svg', 'page5-58.svg', 'page3-99.svg', 'page3-193.svg']",2,['rocket shaped thing'],[11],2.0,page3-193.svg,True,19
G067,ref2_pilot5_binned_threads_1_phase2_3.json,R05191,28,4.0,page7-191.svg,1.0,high,switch-bidirectional,192,73,"['page6-181.svg', 'page6-143.svg', 'page5-184.svg', 'page3-198.svg', 'page7-191.svg', 'page5-135.svg', 'page7-147.svg', 'page8-164.svg', 'page1-25.svg', 'page9-38.svg']",2,['blotched letter R'],[9],2.0,page7-191.svg,True,1
G056,ref2_pilot5_binned_threads_16_phase2_3.json,R05928,15,2.0,page7-36.svg,1.0,high,switch-bidirectional,151,178,"['page2-24.svg', 'page6-24.svg', 'page5-143.svg', 'page6-52.svg', 'page5-84.svg', 'page1-148.svg', 'page1-113.svg', 'page4-127.svg', 'page7-36.svg', 'page6-205.svg']",2,['stair 3 steps'],[17],2.0,page7-36.svg,True,16
G013,ref2_pilot5_binned_threads_0_phase2_3.json,R02566,38,0.0,page4-194.svg,0.9611111111111112,high,single-utterance-unidirectional,147,280,"['page6-181.svg', 'page1-79.svg', 'page7-148.svg', 'page1-63.svg', 'page3-37.svg', 'page2-65.svg', 'page4-194.svg', 'page7-23.svg', 'page7-102.svg', 'page5-123.svg']",3,person with cape turned to the right,18.0,,,,0
G085,ref2_pilot5_binned_threads_6_phase2_3.json,R03548,17,2.0,page6-192.svg,0.6444444444444445,low,switch-bidirectional,5,285,"['page8-148.svg', 'page4-93.svg', 'page9-46.svg', 'page8-58.svg', 'page1-148.svg', 'page7-32.svg', 'page7-198.svg', 'page1-72.svg', 'page6-192.svg', 'page6-162.svg']",2,['person kneeling'],[14],9.0,page6-192.svg,True,6
G138,ref2_pilot5_binned_threads_13_phase2_3.json,R06444,51,0.0,page5-99.svg,0.861111111111111,high,single-utterance-unidirectional,170,270,"['page4-103.svg', 'page5-99.svg', 'page1-38.svg', 'page3-8.svg', 'page1-178.svg', 'page5-106.svg', 'page3-7.svg', 'page7-185.svg', 'page3-207.svg', 'page4-59.svg']",3,like a mouse or small animallooking to the right,22.0,,,,13
G057,ref2_pilot5_binned_threads_19_phase2_3.json,R07026,1,0.0,page1-22.svg,0.977777777777778,high,switch-bidirectional,254,148,"['page6-168.svg', 'page3-99.svg', 'page2-112.svg', 'page7-59.svg', 'page3-24.svg', 'page5-80.svg', 'page5-58.svg', 'page1-22.svg', 'page3-193.svg', 'page8-169.svg']",2,"['this kind of looks like a tongue sticking out', 'from side ways?', 'towards the bottom']","[25, 14, 8]",14.0,page6-168.svg,False,19
G045,ref2_pilot5_binned_threads_3_phase2_3.json,R04317,44,0.0,page7-76.svg,0.8485185185185186,low,single-utterance-unidirectional,262,122,"['page6-60.svg', 'page4-128.svg', 'page7-244.svg', 'page1-162.svg', 'page7-76.svg', 'page8-85.svg', 'page6-202.svg', 'page5-87.svg', 'page7-47.svg', 'page1-38.svg']",3,boat with diamond,15.0,,,,3
G057,ref2_pilot5_binned_threads_19_phase2_3.json,R00361,46,0.0,page2-112.svg,0.972222222222222,high,single-utterance-unidirectional,148,254,"['page8-165.svg', 'page5-85.svg', 'page5-57.svg', 'page2-112.svg', 'page5-165.svg', 'page1-51.svg', 'page2-61.svg', 'page5-220.svg', 'page5-128.svg', 'page6-13.svg']",3,speaker on top of base,10.0,,,,19
G057,ref2_pilot5_binned_threads_19_phase2_3.json,R01149,16,2.0,page5-58.svg,0.875925925925926,high,switch-bidirectional,254,148,"['page6-168.svg', 'page3-99.svg', 'page2-112.svg', 'page7-59.svg', 'page3-24.svg', 'page5-80.svg', 'page5-58.svg', 'page1-22.svg', 'page3-193.svg', 'page8-169.svg']",2,['flat terrain with mountains'],[8],16.0,page5-58.svg,True,19
G056,ref2_pilot5_binned_threads_16_phase2_3.json,R06153,44,0.0,page5-143.svg,0.96,high,single-utterance-unidirectional,151,178,"['page7-205.svg', 'page6-117.svg', 'page5-143.svg', 'page4-203.svg', 'page5-86.svg', 'page8-164.svg', 'page6-75.svg', 'page7-88.svg', 'page1-66.svg', 'page2-39.svg']",3,boat from front,13.0,,,,16
G067,ref2_pilot5_binned_threads_1_phase2_3.json,R01933,21,3.0,page7-191.svg,1.0,high,switch-bidirectional,73,192,"['page6-181.svg', 'page7-147.svg', 'page9-38.svg', 'page8-164.svg', 'page5-184.svg', 'page7-191.svg', 'page5-135.svg', 'page6-143.svg', 'page1-25.svg', 'page3-198.svg']",2,['Fat R'],[8],1.0,page7-191.svg,True,1
G046,ref2_pilot5_binned_threads_7_phase2_3.json,R03743,22,3.0,page3-110.svg,0.9925925925925926,high,switch-bidirectional,37,230,"['page6-52.svg', 'page4-16.svg', 'page4-249.svg', 'page1-82.svg', 'page7-161.svg', 'page4-97.svg', 'page3-110.svg', 'page7-251.svg', 'page3-198.svg', 'page7-234.svg']",2,['paintbrush standing up'],[13],3.0,page3-110.svg,True,7
G013,ref2_pilot5_binned_threads_0_phase2_3.json,R04296,18,2.0,page5-106.svg,0.9255555555555556,high,switch-bidirectional,147,280,"['page2-113.svg', 'page7-76.svg', 'page7-132.svg', 'page5-106.svg', 'page2-49.svg', 'page6-179.svg', 'page1-73.svg', 'page7-148.svg', 'page3-201.svg', 'page9-31.svg']",2,['Y with a triangle on one side'],[17],2.0,page5-106.svg,True,0
G067,ref2_pilot5_binned_threads_1_phase2_3.json,R04022,35,0.0,page4-11.svg,0.738888888888889,low,single-utterance-unidirectional,73,192,"['page6-179.svg', 'page8-240.svg', 'page4-157.svg', 'page8-166.svg', 'page8-68.svg', 'page1-36.svg', 'page4-11.svg', 'page1-10.svg', 'page9-38.svg', 'page1-75.svg']",3,man sitting,11.0,,,,1
G138,ref2_pilot5_binned_threads_13_phase2_3.json,R05598,45,0.0,page1-178.svg,0.9592592592592591,high,single-utterance-unidirectional,170,270,"['page4-103.svg', 'page5-99.svg', 'page1-38.svg', 'page3-8.svg', 'page1-178.svg', 'page5-106.svg', 'page3-7.svg', 'page7-185.svg', 'page3-207.svg', 'page4-59.svg']",3,crocadile head,17.0,,,,13
G041,ref2_pilot5_binned_threads_11_phase2_3.json,R04571,18,2.0,page2-157.svg,0.9611111111111112,high,switch-bidirectional,249,1,"['page5-63.svg', 'page3-56.svg', 'page2-157.svg', 'page2-48.svg', 'page6-159.svg', 'page8-199.svg', 'page7-226.svg', 'page3-193.svg', 'page4-203.svg', 'page1-66.svg']",2,['arrow pointing up'],[9],3.0,page2-157.svg,True,11
G013,ref2_pilot5_binned_threads_0_phase2_3.json,R05763,12,1.0,page1-73.svg,0.9851851851851852,high,switch-bidirectional,280,147,"['page9-31.svg', 'page2-49.svg', 'page6-179.svg', 'page3-201.svg', 'page7-132.svg', 'page7-148.svg', 'page5-106.svg', 'page7-76.svg', 'page1-73.svg', 'page2-113.svg']",2,['upside down wine glass'],[12],4.0,page1-73.svg,True,0
G045,ref2_pilot5_binned_threads_3_phase2_3.json,R03949,15,2.0,page2-64.svg,0.7185185185185186,low,switch-bidirectional,262,122,"['page2-64.svg', 'page4-237.svg', 'page5-81.svg', 'page5-193.svg', 'page7-106.svg', 'page7-244.svg', 'page6-245.svg', 'page3-168.svg', 'page2-189.svg', 'page2-191.svg']",2,['boat with diamond sun'],[16],3.0,page2-64.svg,True,3
G085,ref2_pilot5_binned_threads_6_phase2_3.json,R00857,15,2.0,page8-58.svg,0.7259259259259259,low,switch-bidirectional,5,285,"['page8-148.svg', 'page4-93.svg', 'page9-46.svg', 'page8-58.svg', 'page1-148.svg', 'page7-32.svg', 'page7-198.svg', 'page1-72.svg', 'page6-192.svg', 'page6-162.svg']",2,['person walking to the right'],[13],13.0,page8-148.svg,False,6
G008,ref2_pilot5_binned_threads_17_phase2_3.json,R05563,35,0.0,page7-96.svg,0.9833333333333334,high,single-utterance-unidirectional,17,212,"['page8-18.svg', 'page2-105.svg', 'page2-156.svg', 'page7-40.svg', 'page3-187.svg', 'page7-15.svg', 'page1-69.svg', 'page2-145.svg', 'page7-24.svg', 'page7-96.svg']",3,big triangle with little square at top,23.0,,,,17
G046,ref2_pilot5_binned_threads_7_phase2_3.json,R06852,48,0.0,page6-117.svg,0.962962962962963,high,single-utterance-unidirectional,230,37,"['page3-52.svg', 'page6-96.svg', 'page7-216.svg', 'page1-76.svg', 'page3-198.svg', 'page6-171.svg', 'page6-117.svg', 'page1-178.svg', 'page6-124.svg', 'page7-185.svg']",3,looks like a bottle opener or sideways wrench,33.0,,,,7
G069,ref2_pilot5_binned_threads_15_phase2_3.json,R00234,43,0.0,page5-57.svg,0.9592592592592591,high,single-utterance-unidirectional,55,189,"['page6-172.svg', 'page9-13.svg', 'page5-57.svg', 'page6-100.svg', 'page6-9.svg', 'page6-94.svg', 'page1-55.svg', 'page9-32.svg', 'page4-157.svg', 'page8-8.svg']",3,3 mountain range at a distance,16.0,,,,15
G069,ref2_pilot5_binned_threads_15_phase2_3.json,R05937,27,4.0,page4-19.svg,0.8555555555555557,high,switch-bidirectional,189,55,"['page7-17.svg', 'page8-63.svg', 'page4-19.svg', 'page4-247.svg', 'page5-122.svg', 'page6-113.svg', 'page7-44.svg', 'page5-68.svg', 'page8-180.svg', 'page4-157.svg']",2,['person walking'],[7],3.0,page4-19.svg,True,15
G138,ref2_pilot5_binned_threads_13_phase2_3.json,R07265,12,1.0,page5-193.svg,0.9685185185185186,high,switch-bidirectional,170,270,"['page5-123.svg', 'page3-189.svg', 'page5-193.svg', 'page7-179.svg', 'page4-97.svg', 'page1-125.svg', 'page2-152.svg', 'page7-234.svg', 'page4-103.svg', 'page8-210.svg']",2,['tree looking'],[9],2.0,page5-193.svg,True,13
G039,ref2_pilot5_binned_threads_8_phase2_3.json,R05845,17,2.0,page3-26.svg,0.9833333333333334,high,switch-bidirectional,107,260,"['page1-14.svg', 'page5-145.svg', 'page7-15.svg', 'page7-195.svg', 'page3-187.svg', 'page5-168.svg', 'page2-174.svg', 'page3-26.svg', 'page8-156.svg', 'page5-239.svg']",2,['an arrow with legs'],[7],3.0,page3-26.svg,True,8
G014,ref2_pilot5_binned_threads_2_phase2_3.json,R03092,10,1.0,page8-180.svg,0.977777777777778,high,switch-bidirectional,158,217,"['page8-65.svg', 'page4-232.svg', 'page5-80.svg', 'page4-92.svg', 'page2-166.svg', 'page3-120.svg', 'page2-112.svg', 'page7-10.svg', 'page4-25.svg', 'page8-180.svg']",2,['white diamond in the center'],[14],3.0,page8-180.svg,True,2
G046,ref2_pilot5_binned_threads_7_phase2_3.json,R00872,50,0.0,page7-185.svg,0.977777777777778,high,single-utterance-unidirectional,230,37,"['page3-52.svg', 'page6-96.svg', 'page7-216.svg', 'page1-76.svg', 'page3-198.svg', 'page6-171.svg', 'page6-117.svg', 'page1-178.svg', 'page6-124.svg', 'page7-185.svg']",3,looks like a golf club (just the club),17.0,,,,7
