context_id,thread_id,pre_post_A,pre_post_B,interactive
22,3,page4-11,page8-56,page4-34
22,4,page4-47,page2-148,page2-71
22,5,page5-64,page5-155,page5-65
22,6,page4-183,page3-73,page4-190
22,7,page9-14,page1-129,page4-93
22,8,page3-193,page2-21,page5-220
22,9,page8-221,page8-221,page8-221
23,0,page4-92,page5-87,page5-81
23,1,page4-238,page6-202,page4-237
23,2,page8-204,page8-65,page8-2
23,3,page8-46,page1-13,page2-86
23,4,page3-157,page3-41,page7-85
23,5,page5-185,page1-116,page7-180
23,6,page1-182,page1-149,page5-136
23,7,page3-168,page4-147,page3-57
23,8,page4-157,page4-214,page7-191
23,9,page6-240,page6-240,page6-240
24,0,page6-181,page6-173,page6-179
24,1,page5-134,page4-249,page3-8
24,2,page6-38,page7-229,page7-102
24,3,page8-46,page1-13,page2-86
24,4,page8-165,page7-135,page7-40
24,5,page2-37,page6-100,page7-44
24,6,page2-164,page4-230,page6-31
24,7,page6-50,page5-142,page8-118
24,8,page3-37,page9-23,page1-73
24,9,page6-141,page6-141,page6-141
25,0,page6-179,page6-173,page6-181
25,1,page4-11,page7-224,page7-86
25,2,page1-110,page1-70,page1-65
25,3,page7-172,page6-117,page6-52
25,4,page8-152,page4-16,page6-28
25,5,page2-37,page6-100,page7-44
25,6,page7-186,page6-163,page7-184
25,7,page6-50,page5-142,page8-118
25,8,page3-122,page5-220,page3-193
25,9,page-F,page-F,page-F
26,0,page5-81,page5-87,page4-92
26,1,page3-47,page7-28,page7-58
26,2,page3-101,page1-79,page3-3
26,3,page3-50,page8-195,page2-168
26,4,page5-152,page1-70,page5-138
26,5,page7-73,page6-160,page6-123
26,6,page8-180,page7-40,page9-11
26,7,page6-21,page6-234,page6-72
26,8,page5-89,page7-70,page7-79
26,9,page8-184,page8-184,page8-184
27,0,page4-92,page5-87,page5-81
27,1,page8-160,page9-20,page9-16
27,2,page7-102,page7-229,page6-38
27,3,page8-63,page6-96,page6-94
27,4,page6-83,page2-158,page8-239
27,5,page6-73,page1-130,page6-240
27,6,page4-185,page7-125,page7-69
27,7,page6-163,page8-157,page6-219
27,8,page3-122,page5-220,page3-193
27,9,page5-63,page5-63,page5-63
28,0,page1-103,page1-66,page1-69
28,1,page4-16,page6-172,page6-171
28,2,page4-162,page4-247,page7-236
28,3,page4-83,page4-24,page2-150
28,4,page2-79,page8-85,page7-106
28,5,page6-202,page6-50,page1-63
28,6,page1-157,page3-56,page5-157
28,7,page1-147,page1-51,page3-99
28,8,page1-5,page7-85,page6-198
28,9,page4-202,page4-202,page4-202
29,0,page3-207,page6-171,page4-16
29,1,page5-80,page5-85,page5-96
29,2,page5-244,page5-207,page7-122
29,3,page7-230,page6-117,page1-13
29,4,page4-214,page6-167,page4-202
29,5,page2-74,page2-67,page8-142
29,6,page2-182,page7-247,page5-182
29,7,page6-97,page5-151,page6-226
29,8,page1-5,page7-85,page6-198
29,9,page5-235,page5-235,page5-235
30,0,page4-177,page7-236,page2-155
30,1,page3-203,page3-199,page4-3
30,2,page3-8,page1-76,page4-249
30,3,page8-46,page1-13,page2-86
30,4,page1-79,page9-31,page5-187
30,5,page7-108,page4-241,page5-179
30,6,page5-210,page6-9,page5-132
30,7,page7-33,page6-75,page6-205
30,8,page7-46,page6-52,page9-34
30,9,page6-160,page6-160,page6-160
31,0,page4-177,page7-236,page2-155
31,1,page4-11,page-D,page3-198
31,2,page7-24,page4-242,page1-129
31,3,page3-17,page3-12,page1-26
31,4,page4-217,page2-16,page4-148
31,5,page3-50,page6-106,page7-20
31,6,page3-69,page5-144,page6-199
31,7,page8-158,page4-93,page9-14
31,8,page2-173,page3-70,page2-133
31,9,page6-124,page6-124,page6-124
32,0,page3-207,page6-171,page4-16
32,1,page4-11,page7-224,page7-86
32,2,page1-168,page4-247,page2-34
32,3,page7-145,page7-106,page2-79
32,4,page7-40,page8-165,page7-135
32,5,page3-43,page1-52,page7-167
32,6,page2-141,page5-73,page4-60
32,7,page4-166,page7-126,page5-239
32,8,page2-166,page9-13,page7-17
32,9,page8-199,page8-199,page8-199
33,0,page5-134,page3-8,page1-125
33,1,page3-198,page7-86,page4-11
33,2,page2-143,page2-163,page6-177
33,3,page3-156,page4-81,page3-141
33,4,page3-136,page3-170,page5-191
33,5,page4-233,page1-113,page7-166
33,6,page7-88,page5-94,page7-30
33,7,page4-194,page4-192,page4-193
33,8,page7-241,page3-45,page6-162
33,9,page5-233,page5-233,page5-233
34,0,page3-207,page6-171,page4-16
34,1,page5-134,page4-249,page3-8
34,2,page3-25,page9-42,page1-150
34,3,page3-165,page3-46,page2-187
34,4,page1-151,page5-11,page5-0
34,5,page4-2,page4-101,page3-206
34,6,page4-30,page4-59,page2-152
34,7,page1-69,page1-133,page4-150
34,8,page6-201,page1-162,page6-245
34,9,page5-174,page5-174,page5-174
35,0,page3-71,page5-60,page3-95
35,1,page6-196,page6-172,page6-192
35,2,page1-110,page1-70,page1-65
35,3,page4-11,page8-56,page4-34
35,4,page5-147,page7-216,page1-77
35,5,page2-105,page1-125,page2-103
35,6,page2-176,page8-157,page9-15
35,7,page6-208,page7-127,page8-22
35,8,page2-166,page9-13,page7-17
35,9,page6-175,page6-175,page6-175
36,0,page7-15,page5-57,page5-58
36,1,page5-87,page1-25,page8-240
36,2,page2-143,page6-177,page5-178
36,3,page1-76,page5-233,page3-166
36,4,page4-56,page4-11,page2-145
36,5,page7-103,page8-181,page1-128
36,6,page3-17,page1-132,page3-45
36,7,page8-217,page9-25,page7-219
36,8,page1-85,page7-185,page7-234
36,9,page7-22,page7-22,page7-22
37,0,page3-207,page6-171,page4-16
37,1,page5-87,page1-25,page8-240
37,2,page6-23,page4-79,page5-246
37,3,page5-198,page2-79,page6-105
37,4,page6-94,page2-39,page5-102
37,5,page7-88,page6-127,page7-29
37,6,page7-59,page6-209,page3-130
37,7,page4-227,page8-204,page6-158
37,8,page2-145,page6-164,page6-92
37,9,page5-135,page5-135,page5-135
38,0,page7-15,page5-57,page5-58
38,1,page3-60,page1-76,page2-54
38,2,page7-181,page6-166,page7-156
38,3,page1-25,page3-31,page1-44
38,4,page1-48,page6-100,page7-84
38,5,page4-237,page7-255,page1-7
38,6,page7-40,page8-8,page8-216
38,7,page4-194,page4-192,page4-193
38,8,page1-5,page7-85,page6-198
38,9,page4-166,page4-166,page4-166
39,0,page1-125,page3-8,page5-134
39,1,page8-192,page5-86,page5-84
39,2,page7-24,page4-242,page1-129
39,3,page7-41,page7-35,page2-181
39,4,page8-166,page7-103,page9-17
39,5,page4-127,page4-213,page5-105
39,6,page1-185,page1-69,page6-224
39,7,page1-147,page1-51,page3-99
39,8,page2-157,page6-207,page4-229
39,9,page7-130,page7-130,page7-130
40,0,page1-125,page3-8,page5-134
40,1,page2-39,page5-95,page4-142
40,2,page5-244,page5-207,page7-122
40,3,page5-74,page5-233,page1-105
40,4,page1-95,page2-32,page2-106
40,5,page7-177,page6-24,page9-22
40,6,page4-194,page7-246,page2-113
40,7,page6-163,page8-157,page6-219
40,8,page4-157,page4-214,page7-191
40,9,page4-165,page4-165,page4-165
41,0,page2-155,page7-236,page4-177
41,1,page8-240,page6-83,page5-87
41,2,page5-193,page1-38,page1-5
41,3,page8-56,page4-16,page6-78
41,4,page4-161,page2-17,page1-96
41,5,page4-73,page7-145,page7-217
41,6,page2-182,page7-247,page5-182
41,7,page3-29,page5-63,page3-123
41,8,page7-17,page3-124,page2-166
41,9,page7-79,page7-79,page7-79
42,0,page7-15,page5-57,page5-58
42,1,page4-11,page7-224,page7-86
42,2,page3-198,page4-47,page-D
42,3,page6-135,page4-110,page2-19
42,4,page3-21,page1-36,page2-100
42,5,page1-171,page2-37,page5-31
42,6,page6-82,page5-165,page6-209
42,7,page8-169,page7-245,page7-97
42,8,page6-201,page1-162,page6-245
42,9,page6-234,page6-234,page6-234
43,0,page2-155,page7-236,page4-177
43,1,page1-79,page9-31,page1-183
43,2,page5-84,page9-32,page5-86
43,3,page1-51,page7-84,page1-48
43,4,page7-157,page6-224,page1-185
43,5,page1-112,page5-36,page1-159
43,6,page7-65,page8-215,page7-55
43,7,page8-169,page7-245,page7-97
43,8,page3-193,page2-21,page5-220
43,9,page6-114,page6-114,page6-114
44,0,page6-155,page6-164,page6-83
44,1,page3-47,page7-28,page7-58
44,2,page4-162,page4-247,page7-236
44,3,page5-74,page5-233,page1-105
44,4,page2-21,page7-10,page2-20
44,5,page7-73,page6-160,page6-123
44,6,page6-135,page1-148,page6-138
44,7,page2-107,page7-26,page8-24
44,8,page3-122,page5-220,page3-193
44,9,page2-137,page2-137,page2-137
45,0,page2-157,page2-131,page1-90
45,1,page5-80,page5-85,page5-96
45,2,page1-88,page8-72,page7-194
45,3,page1-133,page5-248,page6-122
45,4,page4-205,page1-162,page4-189
45,5,page5-86,page8-192,page7-14
45,6,page3-130,page5-165,page7-59
45,7,page6-163,page8-157,page6-219
45,8,page3-122,page5-220,page3-193
45,9,page7-179,page7-179,page7-179
46,0,page3-66,page6-121,page4-156
46,1,page6-196,page6-172,page6-192
46,2,page7-34,page6-86,page8-235
46,3,page6-105,page3-121,page5-198
46,4,page6-6,page7-239,page7-218
46,5,page8-195,page3-95,page7-149
46,6,page8-77,page6-205,page7-33
46,7,page7-219,page5-85,page8-217
46,8,page9-15,page7-17,page8-156
46,9,page6-168,page6-168,page6-168
47,0,page2-157,page2-131,page1-90
47,1,page2-59,page1-88,page2-174
47,2,page7-34,page6-86,page8-235
47,3,page8-18,page7-188,page8-236
47,4,page3-129,page5-215,page8-207
47,5,page7-133,page7-71,page5-121
47,6,page2-182,page7-247,page5-182
47,7,page1-0,page4-150,page5-18
47,8,page4-157,page4-214,page7-191
47,9,page2-90,page2-90,page2-90
48,0,page3-71,page5-60,page3-95
48,1,page4-238,page6-202,page4-237
48,2,page2-72,page7-76,page2-65
48,3,page1-10,page7-244,page6-143
48,4,page6-5,page6-181,page3-163
48,5,page5-174,page4-79,page9-30
48,6,page7-201,page6-50,page5-101
48,7,page6-97,page5-151,page6-226
48,8,page4-157,page4-214,page7-191
48,9,page3-66,page3-66,page3-66
49,0,page4-16,page4-89,page3-207
49,1,page8-247,page5-84,page8-249
49,2,page3-198,page4-47,page-D
49,3,page1-105,page1-125,page5-74
49,4,page7-133,page5-60,page3-176
49,5,page5-144,page5-44,page6-150
49,6,page2-146,page3-4,page9-29
49,7,page1-167,page1-148,page9-25
49,8,page3-122,page5-220,page3-193
49,9,page1-83,page1-83,page1-83
50,0,page3-66,page6-121,page4-156
50,1,page4-192,page3-141,page4-194
50,2,page5-246,page4-16,page6-23
50,3,page1-105,page1-125,page5-74
50,4,page5-37,page7-145,page7-209
50,5,page4-233,page1-113,page7-166
50,6,page7-233,page4-214,page3-59
50,7,page6-208,page7-127,page8-22
50,8,page7-17,page3-124,page2-166
50,9,page3-128,page3-128,page3-128
51,0,page5-134,page3-8,page1-125
51,1,page4-247,page4-244,page1-122
51,2,page2-65,page2-72,page7-76
51,3,page6-23,page4-79,page8-148
51,4,page4-56,page4-11,page2-145
51,5,page3-157,page2-170,page6-112
51,6,page8-199,page2-61,page6-165
51,7,page4-214,page6-234,page4-197
51,8,page8-184,page7-205,page7-36
51,9,page3-170,page3-170,page3-170
52,0,page5-122,page2-39,page1-148
52,1,page8-160,page9-20,page9-16
52,2,page7-194,page1-52,page1-88
52,3,page5-71,page2-170,page5-145
52,4,page6-188,page-I,page2-67
52,5,page4-142,page5-102,page2-40
52,6,page6-209,page5-81,page6-82
52,7,page3-188,page1-175,page7-169
52,8,page8-184,page7-205,page7-36
52,9,page3-128,page3-128,page3-128
53,0,page5-134,page3-8,page1-125
53,1,page3-60,page1-76,page2-54
53,2,page4-16,page7-122,page5-249
53,3,page7-86,page3-156,page7-224
53,4,page8-166,page7-103,page9-17
53,5,page7-58,page5-153,page3-70
53,6,page7-23,page4-176,page7-13
53,7,page6-208,page7-127,page8-22
53,8,page6-163,page2-88,page8-188
53,9,page3-170,page3-170,page3-170
54,0,page6-83,page6-164,page6-155
54,1,page2-54,page1-76,page3-60
54,2,page7-102,page7-229,page6-38
54,3,page4-47,page4-11,page4-56
54,4,page6-188,page-I,page2-67
54,5,page7-28,page6-142,page1-0
54,6,page4-30,page4-59,page2-152
54,7,page8-158,page4-93,page9-14
54,8,page6-163,page2-88,page8-188
54,9,page4-118,page4-118,page4-118
55,0,page5-58,page5-56,page7-15
55,1,page6-196,page6-172,page6-192
55,2,page1-118,page1-66,page1-113
55,3,page6-23,page4-79,page8-148
55,4,page3-21,page1-36,page2-100
55,5,page7-140,page6-208,page3-191
55,6,page2-26,page2-182,page6-141
55,7,page6-21,page6-234,page6-72
55,8,page7-46,page6-52,page9-34
55,9,page7-52,page7-52,page7-52
56,0,page4-177,page7-236,page2-155
56,1,page8-192,page5-86,page5-84
56,2,page6-124,page6-71,page3-41
56,3,page1-48,page1-30,page1-51
56,4,page5-37,page7-145,page7-209
56,5,page8-43,page8-39,page7-198
56,6,page4-183,page3-73,page4-190
56,7,page4-208,page2-21,page7-18
56,8,page3-122,page5-220,page3-193
56,9,page5-40,page5-40,page5-40
57,0,page3-207,page6-171,page4-16
57,1,page5-59,page7-15,page5-56
57,2,page1-76,page5-168,page1-57
57,3,page8-18,page7-188,page8-236
57,4,page3-42,page5-68,page5-27
57,5,page4-89,page8-148,page9-13
57,6,page8-246,page7-14,page6-75
57,7,page6-204,page6-165,page4-164
57,8,page3-122,page5-220,page3-193
57,9,page1-75,page1-75,page1-75
58,0,page6-83,page6-164,page6-155
58,1,page3-198,page7-86,page4-11
58,2,page1-162,page5-128,page6-168
58,3,page1-110,page3-139,page1-29
58,4,page5-145,page2-24,page2-170
58,5,page7-4,page6-149,page5-139
58,6,page4-185,page7-125,page7-69
58,7,page4-194,page3-153,page4-204
58,8,page7-46,page6-52,page9-34
58,9,page4-81,page4-81,page4-81
59,0,page3-66,page6-121,page4-156
59,1,page4-237,page6-202,page4-238
59,2,page3-40,page2-156,page5-28
59,3,page7-102,page2-49,page7-146
59,4,page2-172,page4-203,page3-44
59,5,page1-66,page7-241,page9-27
59,6,page5-209,page6-155,page5-229
59,7,page-G,page3-163,page-B
59,8,page6-163,page2-88,page8-188
59,9,page5-0,page5-0,page5-0
60,0,page4-177,page7-236,page2-155
60,1,page5-87,page1-25,page8-240
60,2,page6-177,page5-178,page2-143
60,3,page2-134,page7-209,page5-37
60,4,page4-56,page4-11,page2-145
60,5,page4-73,page7-145,page7-217
60,6,page5-217,page6-38,page5-183
60,7,page9-20,page3-135,page2-48
60,8,page6-163,page2-88,page8-188
60,9,page3-120,page3-120,page3-120
61,0,page6-155,page6-164,page6-83
61,1,page3-60,page1-76,page1-186
61,2,page7-194,page1-52,page1-88
61,3,page7-47,page6-100,page7-5
61,4,page4-118,page3-35,page8-201
61,5,page6-9,page7-8,page3-182
61,6,page8-180,page7-40,page9-11
61,7,page9-14,page1-129,page4-93
61,8,page5-89,page7-70,page7-79
61,9,page5-128,page5-128,page5-128
62,0,page4-177,page7-236,page2-155
62,1,page3-60,page1-76,page1-186
62,2,page1-168,page4-247,page2-34
62,3,page8-215,page3-43,page4-220
62,4,page7-47,page2-17,page4-161
62,5,page2-189,page6-13,page4-140
62,6,page2-91,page2-88,page5-49
62,7,page6-21,page6-234,page6-72
62,8,page2-157,page6-207,page4-229
62,9,page3-130,page3-130,page3-130
63,0,page6-83,page6-164,page6-155
63,1,page2-54,page1-76,page3-60
63,2,page8-246,page6-94,page8-63
63,3,page6-71,page7-4,page5-104
63,4,page2-20,page1-94,page2-21
63,5,page1-31,page5-40,page2-4
63,6,page7-41,page6-34,page2-47
63,7,page1-63,page4-13,page3-201
63,8,page8-184,page7-205,page7-36
63,9,page3-120,page3-120,page3-120
64,0,page1-125,page3-8,page5-134
64,1,page4-192,page3-141,page4-194
64,2,page4-66,page4-81,page4-64
64,3,page7-58,page2-108,page7-28
64,4,page4-74,page3-191,page6-208
64,5,page1-133,page5-248,page5-232
64,6,page1-13,page2-86,page7-253
64,7,page4-227,page8-204,page6-158
64,8,page2-166,page9-13,page7-17
64,9,page1-56,page1-56,page1-56
65,0,page6-155,page6-164,page6-83
65,1,page5-248,page6-122,page1-133
65,2,page1-168,page4-247,page2-36
65,3,page4-118,page1-183,page3-35
65,4,page2-107,page6-73,page1-130
65,5,page5-154,page2-157,page6-207
65,6,page5-210,page6-9,page5-132
65,7,page1-0,page4-150,page5-18
65,8,page5-89,page7-70,page7-79
65,9,page2-65,page2-65,page2-65
66,0,page3-95,page3-131,page3-71
66,1,page8-240,page6-83,page5-87
66,2,page6-23,page4-79,page5-246
66,3,page5-107,page7-88,page5-71
66,4,page5-123,page9-7,page5-106
66,5,page3-14,page8-20,page1-40
66,6,page9-36,page7-103,page7-112
66,7,page4-212,page2-24,page7-252
66,8,page7-46,page6-52,page9-34
66,9,page7-71,page7-71,page7-71
67,0,page6-83,page6-164,page6-155
67,1,page5-84,page1-168,page8-192
67,2,page4-66,page4-81,page4-64
67,3,page1-51,page7-84,page1-48
67,4,page3-157,page3-41,page7-85
67,5,page3-122,page1-26,page4-235
67,6,page2-146,page3-4,page9-29
67,7,page5-106,page4-192,page-C
67,8,page2-157,page6-207,page4-229
67,9,page6-140,page6-140,page6-140
68,0,page5-122,page2-39,page1-148
68,1,page8-160,page9-20,page9-16
68,2,page1-118,page1-66,page1-113
68,3,page7-5,page4-161,page7-47
68,4,page1-185,page7-241,page7-157
68,5,page8-195,page3-95,page7-149
68,6,page9-11,page8-8,page8-180
68,7,page6-216,page5-0,page3-23
68,8,page5-162,page6-114,page4-169
68,9,page5-200,page5-200,page5-200
69,0,page1-103,page1-66,page1-69
69,1,page5-96,page5-85,page5-80
69,2,page5-246,page4-16,page6-23
69,3,page1-112,page6-202,page3-38
69,4,page7-188,page8-215,page8-179
69,5,page3-163,page1-44,page5-6
69,6,page6-231,page5-232,page5-160
69,7,page5-106,page4-192,page-C
69,8,page6-201,page1-162,page6-245
69,9,page9-4,page9-4,page9-4
70,0,page3-66,page6-121,page4-156
70,1,page4-194,page9-38,page4-192
70,2,page8-222,page5-60,page5-57
70,3,page3-38,page1-159,page1-112
70,4,page1-10,page4-227,page7-154
70,5,page4-33,page5-213,page4-9
70,6,page3-61,page7-242,page2-80
70,7,page6-163,page8-157,page6-219
70,8,page6-201,page1-162,page6-245
70,9,page7-88,page7-88,page7-88
71,0,page6-83,page6-164,page6-155
71,1,page4-130,page7-133,page3-29
71,2,page8-152,page6-171,page6-186
71,3,page5-45,page4-161,page2-17
71,4,page1-10,page4-227,page7-154
71,5,page1-54,page1-37,page1-165
71,6,page7-132,page4-127,page8-174
71,7,page8-158,page4-93,page9-14
71,8,page5-89,page7-70,page7-79
71,9,page7-80,page7-80,page7-80
72,0,page6-83,page6-164,page6-155
72,1,page5-87,page1-25,page8-240
72,2,page2-70,page2-65,page2-72
72,3,page5-45,page4-161,page2-17
72,4,page4-51,page5-249,page4-22
72,5,page7-158,page7-33,page8-77
72,6,page5-186,page3-168,page7-246
72,7,page4-212,page2-24,page7-252
72,8,page1-5,page7-85,page6-198
72,9,page1-49,page1-49,page1-49
73,0,page1-90,page2-131,page2-157
73,1,page3-56,page5-33,page4-239
73,2,page8-222,page5-60,page5-57
73,3,page8-215,page3-43,page4-220
