file	column	before	after
data/full_data.csv	description	['go go go']	[]
data/full_data.csv	description	['im ready', 'house boat']	['house boat']
data/full_data.csv	description	['looks like an upside down lightsaber hilt', 'sorry, need more', 'like a cup', 'shallow upside down cup']	['looks like an upside down lightsaber hilt', 'like a cup', 'shallow upside down cup']
data/full_data.csv	description	['?', 'man vacuuming right']	['man vacuuming right']
data/full_data.csv	description	['the letter j', 'with a square in the middle', 'capital j', 'help']	['the letter j', 'with a square in the middle', 'capital j']
data/full_data.csv	description	['?', 'A lap with a weird top and flat base']	['A lap with a weird top and flat base']
data/full_data.csv	description	['?', 'weird lamp with flat base']	['weird lamp with flat base']
data/full_data.csv	description	['man holding a cup :)']	['man holding a cup']
data/full_data.csv	description	['what does it look lik', '?', 'It looks like a different kinD of U']	['It looks like a different kinD of U']
data/full_data.csv	description	['quick', 'shaped like a boat but but a big triangle on the left and a diagional square onthe top left']	['shaped like a boat but but a big triangle on the left and a diagional square onthe top left']
data/full_data.csv	description	['describe please', 'close up of scrappy doo or mufasa facing left', 'a man looking to the left with a beard', 'its just a head and neck facing left']	['close up of scrappy doo or mufasa facing left', 'a man looking to the left with a beard', 'its just a head and neck facing left']
data/full_data.csv	description	['rocket  about to launch']	['rocket about to launch']
data/full_data.csv	description	['?', 'one normal triangle and two right angle triangles facing away from each other and tail']	['one normal triangle and two right angle triangles facing away from each other and tail']
data/full_data.csv	description	['i am ready', 'has a arrow point up with a square box bottom']	['has a arrow point up with a square box bottom']
data/full_data.csv	description	['?', 'man laying on his back with knees in the air facing right']	['man laying on his back with knees in the air facing right']
data/full_data.csv	description	a tall thin rectangle with a foot bit sticking out to the left  and a pointy right foot	a tall thin rectangle with a foot bit sticking out to the left and a pointy right foot
data/full_data.csv	description	Like a man taking off to the right by farting (heh)	Like a man taking off to the right by farting
data/full_data.csv	description	['describe please', 'looks like a giant number one with an uneven bottom']	['looks like a giant number one with an uneven bottom']
data/full_data.csv	description	['looks like a giraffe lol']	['looks like a giraffe']
data/full_data.csv	description	['last one', 'lets do this!', 'crab claw!', 'ive got you', 'Housey shape']	['last one', 'crab claw!', 'Housey shape']
data/full_data.csv	description	['cake again lol']	['cake again']
data/full_data.csv	description	lower case letter H,     funny square stuck at the top	lower case letter H, funny square stuck at the top
data/full_data.csv	description	bird shape looking  left	bird shape looking left
data/full_data.csv	description	['what does it look like this time?', 'Monster swimming to the right with long neck and a flipper']	['Monster swimming to the right with long neck and a flipper']
data/full_data.csv	description	['Imagine like showing your ding dong', 'What image am I looking for?', 'Thanks']	[]
data/full_data.csv	description	['it has a long bottom part and then a triangle on top and a square on top of that.', 'hard to desrcribe', 'on left it looks like it can rest on a shelf']	['it has a long bottom part and then a triangle on top and a square on top of that.', 'on left it looks like it can rest on a shelf']
data/full_data.csv	description	['what does it look like', 'cat facing right']	['cat facing right']
data/full_data.csv	description	['.', 'waving with two hands']	['waving with two hands']
data/full_data.csv	description	['a man with his ding dong out']	[]
data/full_data.csv	description	['Batmans head lol']	['Batmans head']
data/full_data.csv	description	['Its the house', 'again', 'lol']	['Its the house', 'again']
data/full_data.csv	description	['It looks like an almost circle with a triangle out the top facing left and a triangle out the bottom facing right', 'like a hurricane symbol ?', 'yeah']	['It looks like an almost circle with a triangle out the top facing left and a triangle out the bottom facing right', 'like a hurricane symbol', 'yeah']
data/full_data.csv	description	['Big Bird long neck', 'square feet?', 'turned to the left  yes square feet', 'I mean turned to the right', 'sorry']	['Big Bird long neck', 'square feet?', 'turned to the left yes square feet', 'I mean turned to the right']
data/full_data.csv	description	['what does it look likke', 'A cat facing the left side of the screen']	['A cat facing the left side of the screen']
data/full_data.csv	description	['person praying head down', '?', 'point left', 'flat bottom', 'person', 'praying', 'head looks pointing down']	['person praying head down', 'point left', 'flat bottom', 'person', 'praying', 'head looks pointing down']
data/full_data.csv	description	['Ding dong out']	[]
data/full_data.csv	description	['?', 'cat']	['cat']
data/full_data.csv	description	['elephant :)']	['elephant']
data/full_data.csv	description	['capitol G lol']	['capitol G']
data/full_data.csv	description	['Sorry... ok so this one looks like a cleaver facing the left with a bent handle.']	['ok so this one looks like a cleaver facing the left with a bent handle.']
data/full_data.csv	description	['hammer', 'more', 'hammer like with a weird shaped handle']	['hammer', 'hammer like with a weird shaped handle']
data/full_data.csv	description	['hi', 'any ideas??', 'Upside down triangle on the left, next to an upright triangle and the little triangle on the right', 'hello :)']	['Upside down triangle on the left, next to an upright triangle and the little triangle on the right']
data/full_data.csv	description	['describe please', 'looks like the bottom half of a man just body and legs', 'square body']	['looks like the bottom half of a man just body and legs', 'square body']
data/full_data.csv	description	['looks like a smaller upside down triangle on top of two pairs of sideways triangls', 'with a base', 'Struggling a little!', 'sort of like a suction device but upside down', 'this one is tough to describe', 'flat top and flat bottom', 'Is the triangle shape on top?', 'The upside down one', 'yes']	['looks like a smaller upside down triangle on top of two pairs of sideways triangls', 'with a base', 'sort of like a suction device but upside down', 'flat top and flat bottom', 'Is the triangle shape on top?', 'The upside down one', 'yes']
data/full_data.csv	description	['ready for direction', 'It looks like a cat runnig to the right']	['It looks like a cat runnig to the right']
data/full_data.csv	description	a house  with a white door	a house with a white door
data/full_data.csv	description	['Hello?', 'Reset', 'A two legged pan shape', 'reset', 'Facing downward like a big arrow', 'Does it look like a water fountain', 'Yes']	['A two legged pan shape', 'Facing downward like a big arrow', 'Does it look like a water fountain', 'Yes']
data/full_data.csv	description	['what do you see', 'bird with its head pointing down to the right and small wings on top']	['bird with its head pointing down to the right and small wings on top']
data/full_data.csv	description	['?', 'square, with a chimney, wonky square at the top']	['square, with a chimney, wonky square at the top']
data/full_data.csv	description	['?', 'flame']	['flame']
data/full_data.csv	description	this is a horrible one to describe.  it is not symmetrical at all.   the bas has a triangle,   and lots of side turned triangles up, like a rubbish treee	this is a horrible one to describe. it is not symmetrical at all. the bas has a triangle, and lots of side turned triangles up, like a rubbish treee
data/full_data.csv	description	['Nice!', 'it looks like a kings crown with a triangle sticking out the bottom right']	['it looks like a kings crown with a triangle sticking out the bottom right']
data/full_data.csv	description	kind of looks like a chair,  on the top is a triangle the is off centered to the left just a bit	kind of looks like a chair, on the top is a triangle the is off centered to the left just a bit
data/full_data.csv	description	['soft serve icecream', 'zig zag edges???  both side', 'yes']	['soft serve icecream', 'zig zag edges??? both side', 'yes']
data/full_data.csv	description	been great playing this with u!!  Its a bird standing up loolking lrft	Its a bird standing up loolking lrft
data/full_data.csv	description	['?', 'ice ream swirl']	['ice ream swirl']
data/full_data.csv	description	['Tree. and good job!']	['Tree.']
data/full_data.csv	description	inverted t  wirh a base at rhe rop	inverted t wirh a base at rhe rop
data/full_data.csv	description	['hi', 'Ok, it looks like an angel or a dragon, facing the left with its arms pointing down.']	['Ok, it looks like an angel or a dragon, facing the left with its arms pointing down.']
data/full_data.csv	description	['triangle with a large pen on top', 'or upside down house on top', 'for the record i enjoy playing with you', 'thanks', 'same to you']	['triangle with a large pen on top', 'or upside down house on top']
data/full_data.csv	description	['person waving with one hand', 'nice work']	['person waving with one hand']
data/full_data.csv	description	['it looks like an arm )first time for this one)', 'You must describe better than I do ha ha!']	['it looks like an arm )first time for this one)']
data/full_data.csv	description	['man pray - point left', '?']	['man pray - point left']
data/full_data.csv	description	['We are getting paid for this - dont u love Prolific!!!', 'Its that person with their legs up to the right again on their back']	['Its that person with their legs up to the right again on their back']
data/full_data.csv	description	its the one that looks like nothing.  lots of wee triangles at the bottom of i!!!	its the one that looks like nothing. lots of wee triangles at the bottom of i!!!
data/full_data.csv	description	['lol', 'square with six sided shape inside']	['square with six sided shape inside']
data/full_data.csv	description	['Nice to meet you', 'Like a fish, 2 squares for body, triangle for thin tail top left']	['Like a fish, 2 squares for body, triangle for thin tail top left']
data/full_data.csv	description	['looks like a paper  bird looking down']	['looks like a paper bird looking down']
data/full_data.csv	description	['a two fingered hand pointing to the right', 'huh']	['a two fingered hand pointing to the right']
data/full_data.csv	description	['what does the image look like?', 'A teepee with a tee at the top']	['A teepee with a tee at the top']
data/full_data.csv	description	['hello', 'Square shaped head facing left', 'Kicking to the left?', 'One leg up one leg down']	['Square shaped head facing left', 'Kicking to the left?', 'One leg up one leg down']
data/full_data.csv	description	['what does it look like?', 'An anvil with a cone on the top']	['An anvil with a cone on the top']
data/full_data.csv	description	['ding dong out']	[]
data/full_data.csv	description	great description last time!! I would have said legless!!!   This one is steps or stairs	I would have said legless!!! This one is steps or stairs
data/full_data.csv	description	['right angle arrow up', 'what do you think it most looks like', 'right angle arrow up', 'yes']	['right angle arrow up', 'right angle arrow up', 'yes']
data/full_data.csv	description	['a 0 wit  atriangleon top and has a tail underneath']	['a 0 wit atriangleon top and has a tail underneath']
data/full_data.csv	description	['umm full height on the left and slopes out at the bottom']	['full height on the left and slopes out at the bottom']
data/full_data.csv	description	['?', 'square with a cut off corner on a surface to the left,   2 triagnles']	['square with a cut off corner on a surface to the left, 2 triagnles']
data/full_data.csv	description	['tree no stem', 'good description']	['tree no stem']
data/full_data.csv	description	['Hi', 'hello', 'We are looking at a shape which takes up half the box from the top to the bottom in a big line', 'It has a triangle sticking out the siide']	['We are looking at a shape which takes up half the box from the top to the bottom in a big line', 'It has a triangle sticking out the siide']
data/full_data.csv	description	['rectangle next to a tent', 'anything?']	['rectangle next to a tent']
data/full_data.csv	description	['?', '2 triangles stuck to a corner of a square,  opposite side of swore has corner cut off']	['2 triangles stuck to a corner of a square, opposite side of swore has corner cut off']
data/full_data.csv	description	['F facing backwards', 'Can you see it?']	['F facing backwards']
data/full_data.csv	description	['its the L one but not to the left', 'be cool if we got a speed bonus as well']	['its the L one but not to the left']
data/full_data.csv	description	a chevron road marking,   also looks like a military stripe	a chevron road marking, also looks like a military stripe
data/full_data.csv	description	['Select the one that looks oval', 'Need more please', 'Its oval', 'Like a bridge ?']	['Select the one that looks oval', 'Need more please', 'Its oval', 'Like a bridge']
data/full_data.csv	description	['animal, not swan', 'thanks, been a pleasure']	['animal, not swan']
data/full_data.csv	description	['go', 'a flame']	['a flame']
data/full_data.csv	description	['small triangle into big triangle', 'gg', 'gg']	['small triangle into big triangle']
data/full_data.csv	description	['No worries i struggled with the explanation', 'this one is an upside down U']	['this one is an upside down U']
data/full_data.csv	description	['like a mouth that is opening to the right', 'sorry thats not a great description']	['like a mouth that is opening to the right']
data/full_data.csv	description	['part of a rectangle standing up with a triangle facing right', '?']	['part of a rectangle standing up with a triangle facing right']
data/full_data.csv	description	['Kicking to the right with two ears', 'Looks like a fox head', 'Reset', 'One foot on floor', 'Kicking to the right with one foot on floor with a fox shaped head with two ears']	['Kicking to the right with two ears', 'Looks like a fox head', 'One foot on floor', 'Kicking to the right with one foot on floor with a fox shaped head with two ears']
data/full_data.csv	description	['GG', 'Capitol G', 'gg']	['Capitol G']
data/full_data.csv	description	it's either an elephant's head looking to the right... or a flaccid phallic image from a side view	
data/full_data.csv	description	['side view of a lounge chair', 'more please?', 'like the angled back view of the chair', 'from a upward angle']	['side view of a lounge chair', 'like the angled back view of the chair', 'from a upward angle']
data/full_data.csv	description	['it looks like a u', 'whatg does it look like']	['it looks like a u']
data/full_data.csv	description	['/', 'the downward facing arrow with a sharp edge to the right']	['the downward facing arrow with a sharp edge to the right']
data/full_data.csv	description	['?', 'spaceship']	['spaceship']
data/full_data.csv	description	['?', 'Downward arrow with sharp edge to the right']	['Downward arrow with sharp edge to the right']
data/full_data.csv	description	['Looks like a poll', 'One leg', 'Square top?', 'Leg facing left', 'No', '...', 'Looks like a cone']	['Looks like a poll', 'One leg', 'Square top?', 'Leg facing left', 'No', 'Looks like a cone']
data/full_data.csv	description	['go', 'large square,   rectangle stuck to the side with some sharp points']	['large square, rectangle stuck to the side with some sharp points']
data/full_data.csv	description	['seal with ball', 'explain more please', 'or dolphin']	['seal with ball', 'or dolphin']
data/full_data.csv	description	['looks like a stop sign with a wavy pole :)']	['looks like a stop sign with a wavy pole']
data/full_data.csv	description	['what does it look like', 'A man with two hands up']	['A man with two hands up']
data/full_data.csv	description	"['Any descriptions for me please?', ""Hi, it's the one that looks like an elephant face with a point at the top of it's head"", 'bit hard to describe right off the bat']"	"[""it's the one that looks like an elephant face with a point at the top of it's head""]"
data/full_data.csv	description	['big rectandle on top of 2 smaller triangles  -']	['big rectandle on top of 2 smaller triangles -']
data/full_data.csv	description	['what does it look like', 'the one with a man with two hands up']	['the one with a man with two hands up']
data/full_data.csv	description	['tell me somthing bro', 'looks like a womans head with a top bun and triangle as a neck', 'more info', 'diamond ontop']	['looks like a womans head with a top bun and triangle as a neck', 'diamond ontop']
data/full_data.csv	description	['Two people talking to each other', 'Hi', 'two diamond shaped heads facing each other']	['Two people talking to each other', 'two diamond shaped heads facing each other']
data/full_data.csv	description	['hi there. what does the first one look like?', 'Looks like a really tall boat with a funnel on top and a wide base']	['Looks like a really tall boat with a funnel on top and a wide base']
data/full_data.csv	description	['think they messed with us last round....', 'person kicking leg up to the left *why did we get timed out on the last one?*']	['person kicking leg up to the left']
data/full_data.csv	description	"['a bird flying towards you', 'three triangle at the top', ""it's running very slow on my system"", 'mine too']"	['a bird flying towards you', 'three triangle at the top']
data/full_data.csv	description	['hi', 'Like a Buddist monk small head long wide body', 'Wide at botto']	['Like a Buddist monk small head long wide body', 'Wide at botto']
data/full_data.csv	description	['this is fun!', 'person kicking leg up to the left', 'yes it is!']	['person kicking leg up to the left']
data/full_data.csv	description	['hi', 'a funny looking candle holder']	['a funny looking candle holder']
data/full_data.csv	description	['Are you there?', 'it looks like an animal with 2 legs and a long neck']	['it looks like an animal with 2 legs and a long neck']
data/full_data.csv	description	['one', 'it seems to keep refreshing', 'planter', 'with pointy base and funnel on top']	['planter', 'with pointy base and funnel on top']
data/full_data.csv	description	from top of picture, a triangle sitting on a square.    then a slide going down to left hand side.   flick on the right	from top of picture, a triangle sitting on a square. then a slide going down to left hand side. flick on the right
data/full_data.csv	description	['whats it look like?', 'Dead pooping squirrel with tail up on the right']	['Dead pooping squirrel with tail up on the right']
data/full_data.csv	description	a step  up a mountain	a step up a mountain
data/full_data.csv	description	['elephant :)']	['elephant']
data/full_data.csv	description	['anything', 'a triangle', 'towards the right']	['a triangle', 'towards the right']
data/full_data.csv	description	two points up  bottom is two traingles	two points up bottom is two traingles
data/full_data.csv	description	['bumblebee from top view', 'QUICK']	['bumblebee from top view']
data/full_data.csv	description	Claw attached  to triangle	Claw attached to triangle
data/full_data.csv	description	['giraffe :)']	['giraffe']
data/full_data.csv	description	['I like when they repeat them haha', 'a truck with a chute pointing right']	['a truck with a chute pointing right']
data/full_data.csv	description	['What now?', 'looks like a pair of tongs that are opened wide, with wide legs', 'that looks like the top of an x on top of the tongs', 'Kind of t-shirt on top', 'yes']	['looks like a pair of tongs that are opened wide, with wide legs', 'that looks like the top of an x on top of the tongs', 'Kind of t-shirt on top', 'yes']
data/full_data.csv	description	['anvil lookalike', 'more info', 'small triangle into big']	['anvil lookalike', 'small triangle into big']
data/full_data.csv	description	['elephant haha']	['elephant']
data/full_data.csv	description	penis hanging down!	
data/full_data.csv	description	looks like a turtles body.  or a cooked chicken with no head and only 2 legs.	looks like a turtles body. or a cooked chicken with no head and only 2 legs.
data/full_data.csv	description	['ready', 'It  looks like a man holding a bowl']	['It looks like a man holding a bowl']
data/full_data.csv	description	['hard to describe', 'letter m on the right of the image']	['letter m on the right of the image']
data/full_data.csv	description	['?', 'small triagnle into a bigger upside down triangle']	['small triagnle into a bigger upside down triangle']
data/full_data.csv	description	['Hi', 'Lets do this!', 'hunched over person']	['hunched over person']
data/full_data.csv	description	a rooster / chickien  facing right	a rooster / chickien facing right
data/full_data.csv	description	['ice skater with leg up to right and arms out to left', 'sorry about that', 'no problem this is crazy']	['ice skater with leg up to right and arms out to left']
data/full_data.csv	description	['anything', 'so slow', 'the game is slow', 'capital j with square in the middle', 'stuck?']	['capital j with square in the middle']
data/full_data.csv	description	a CROWN ?	a CROWN
data/full_data.csv	description	['looks like a jetpack', '?', 'like the bat one?', 'yea thats the one']	['looks like a jetpack', 'like the bat one?', 'yea thats the one']
data/full_data.csv	description	['Kicking to the right with one leg on the ground', 'Square head', 'reset', '...', '...', 'Person facing to the right with one leg up and one leg down with a square head', 'Pointed leg?']	['Kicking to the right with one leg on the ground', 'Square head', 'Person facing to the right with one leg up and one leg down with a square head', 'Pointed leg?']
data/full_data.csv	description	['describe please', 'a long thick rectangle witha triangle base and two pointy triangles facing each way']	['a long thick rectangle witha triangle base and two pointy triangles facing each way']
data/full_data.csv	description	['hello', 'Looks the most like an animal, but not the swan looking one']	['Looks the most like an animal, but not the swan looking one']
data/full_data.csv	description	['?', 'spaceship again']	['spaceship again']
data/full_data.csv	description	['table with triangle under', '?']	['table with triangle under']
data/full_data.csv	description	['whats it look like?', 'Man in a Chinese hat']	['Man in a Chinese hat']
data/full_data.csv	description	['A man facing  you with a vampire type collar']	['A man facing you with a vampire type collar']
data/full_data.csv	description	['need more', 'rbisland', 'Broken island']	['rbisland', 'Broken island']
data/full_data.csv	description	['What does it look like', 'A straight arrow in the middle of a hill']	['A straight arrow in the middle of a hill']
data/full_data.csv	description	['Hello', 'Looks like a water fountain with one leg only', 'Thin middle', 'with diamond top', 'Square shaped?', 'triangle top', 'triangle middle', 'thin joining section', 'reset']	['Looks like a water fountain with one leg only', 'Thin middle', 'with diamond top', 'Square shaped?', 'triangle top', 'triangle middle', 'thin joining section']
data/full_data.csv	description	['im ready :)', 'sword with diamond on end']	['sword with diamond on end']
data/full_data.csv	description	['looks like armour with two houses sticking out and middle is a bigger house', 'more info', 'big house with two things sticking out', 'at the top', 'looks like squares abit', 'pentagon shape=house']	['looks like armour with two houses sticking out and middle is a bigger house', 'big house with two things sticking out', 'at the top', 'looks like squares abit', 'pentagon shape=house']
data/full_data.csv	description	['tree with  diamond leaf']	['tree with diamond leaf']
data/full_data.csv	description	['Hello?', 'looks like a man wearing a graduation hat and big wide shoulders', 'sorry v hard to describe this one', 'a man?', 'yeah', 'batman vibes too', 'is it the one that has a diamond shape at the top?', 'nop', 'not sure which one', 'just guess haha', 'its wide']	['looks like a man wearing a graduation hat and big wide shoulders', 'a man?', 'yeah', 'batman vibes too', 'is it the one that has a diamond shape at the top?', 'nop', 'not sure which one', 'its wide']
data/full_data.csv	description	['?', 'person walking to the right again']	['person walking to the right again']
data/full_data.csv	description	['wide tunel', '?', 'long tunnel']	['wide tunel', 'long tunnel']
data/full_data.csv	description	['??', 'two triangle down and left', 'with a weird square?', 'no']	['two triangle down and left', 'with a weird square?', 'no']
data/full_data.csv	description	"['house on top', 'crab claw', ""we're on a roll""]"	['house on top', 'crab claw']
data/full_data.csv	description	The stairs ( good description on that last one btw!!)	The stairs
data/full_data.csv	description	"[""i'm here"", 'the one that loooks like a arrow facing upward']"	['the one that loooks like a arrow facing upward']
data/full_data.csv	description	['finger again', 'too easy']	['finger again']
data/full_data.csv	description	['dude with a vacuum right', '??']	['dude with a vacuum right']
data/full_data.csv	description	['Hello', 'Looks like a pan with two legs', 'upside down rocket ship', 'Arrow pointed down?', 'two legs with arrow down', 'yes']	['Looks like a pan with two legs', 'upside down rocket ship', 'Arrow pointed down?', 'two legs with arrow down', 'yes']
data/full_data.csv	description	['?', 'spaceship up']	['spaceship up']
data/full_data.csv	description	"[""I guess it makes it easier when it's repetitive"", 'person lying down lifting their leg up.  yes easier to describe!!']"	['person lying down lifting their leg up. yes easier to describe!!']
data/full_data.csv	description	['?', '?', 'cigarette']	['cigarette']
data/full_data.csv	description	a snake standing up   facing right	a snake standing up facing right
data/full_data.csv	description	"[""i'm hee"", 'the one that loooks like a a backwards L']"	['the one that loooks like a a backwards L']
data/full_data.csv	description	['what does it look like?', 'A guy with a conical hat and a bib']	['A guy with a conical hat and a bib']
data/full_data.csv	description	['Person with leg pointing to the left with a diamond shaped head', '...', 'Hi', 'Person with leg pointing to the left with a diamon shaped head', 'Pointed leg', 'yes', '?', 'Pointed left leg']	['Person with leg pointing to the left with a diamond shaped head', 'Person with leg pointing to the left with a diamon shaped head', 'Pointed leg', 'yes', 'Pointed left leg']
data/full_data.csv	description	['hello', 'top of a cigarette carton. straight line with triangles coming from bottom', 'hey']	['top of a cigarette carton. straight line with triangles coming from bottom']
data/full_data.csv	description	['Sorry', 'this one is the arrow to the smaller triangle']	['this one is the arrow to the smaller triangle']
data/full_data.csv	description	['?', 'upside down cat but the one that is long', 'flat top', 'more', 'pointy on bottom', 'like a cats head', 'but flat top']	['upside down cat but the one that is long', 'flat top', 'pointy on bottom', 'like a cats head', 'but flat top']
data/full_data.csv	description	['?', 'looks like a trophy.    triangle at bottom.   square.  then rectangle.   diamond stone']	['looks like a trophy. triangle at bottom. square. then rectangle. diamond stone']
data/full_data.csv	description	"['timer', ""It barely looks like anything, it's a bunch of mostly triangles and slightly taller at the right""]"	"[""It barely looks like anything, it's a bunch of mostly triangles and slightly taller at the right""]"
data/full_data.csv	description	['Like a faucet or a spout', 'more']	['Like a faucet or a spout']
data/full_data.csv	description	['palm tree', 'Only missed one so far, doing well!!!']	['palm tree']
data/full_data.csv	description	['what do you see', 'a chimney, flat at the top', 'small triangle missing at the bottom']	['a chimney, flat at the top', 'small triangle missing at the bottom']
data/full_data.csv	description	Double  leg	Double leg
data/full_data.csv	description	['?', 'person using a vacuum, going to the right']	['person using a vacuum, going to the right']
data/full_data.csv	description	"[""man fixing to kneel with arm extended facing right'"", '?']"	"[""man fixing to kneel with arm extended facing right'""]"
data/full_data.csv	description	['tree splitting in different  diffections']	['tree splitting in different diffections']
data/full_data.csv	description	looks like a y opposite  direction with a triangle ontop	looks like a y opposite direction with a triangle ontop
data/full_data.csv	description	A bold letter D ( I've enjoyed you as my partner!)	A bold letter D
data/full_data.csv	description	['two columns the bottom one has three triangle at the bottom', 'anything', 'two columns the bottom one has three triangle at the bottom']	['two columns the bottom one has three triangle at the bottom', 'two columns the bottom one has three triangle at the bottom']
data/full_data.csv	description	['hello', 'guy kneeling and facing left', 'hello']	['guy kneeling and facing left']
data/full_data.csv	description	['pu described this as  aperson standing up & kicking to the left']	['pu described this as aperson standing up & kicking to the left']
data/full_data.csv	description	['?', 'the one you just picked     looks a bit like a slide at a kids play area']	['the one you just picked looks a bit like a slide at a kids play area']
data/full_data.csv	description	['ready', 'Its a big triangle missing the right corner and a smaller triangle coming out of the bottom right']	['Its a big triangle missing the right corner and a smaller triangle coming out of the bottom right']
data/full_data.csv	description	a sword with  triangle handles.  Long and tall	a sword with triangle handles. Long and tall
data/full_data.csv	description	['whats it look like?', 'Teepee with half a fat X on top']	['Teepee with half a fat X on top']
data/full_data.csv	description	it looks like a question mark '?'	it looks like a question mark
data/full_data.csv	description	['?', 'a big rectangle.     left hand side edge is a zig zag edge, other side']	['a big rectangle. left hand side edge is a zig zag edge, other side']
data/full_data.csv	description	['rectangle bottom and diamond top', '.', 'and something in the middle']	['rectangle bottom and diamond top', 'and something in the middle']
data/full_data.csv	description	['sorry i got the last one wrong, my bad', 'Arrow pointing down to a small triangle']	['Arrow pointing down to a small triangle']
data/full_data.csv	description	['set of steps.  Wierd how there are 2 we never get asked about']	['set of steps. Wierd how there are 2 we never get asked about']
data/full_data.csv	description	"[""what's it look like?"", 'Monster swimming to the right with long neck up and a flipper']"	['Monster swimming to the right with long neck up and a flipper']
data/full_data.csv	description	"[""we're doing well fairplay"", 'perched bird looking thing']"	['perched bird looking thing']
data/full_data.csv	description	['?', 'arrow up made from 2 squares and a triangle at base']	['arrow up made from 2 squares and a triangle at base']
data/full_data.csv	description	['we are doing well!', 'square house with chimney', 'We are! :)']	['square house with chimney']
data/full_data.csv	description	['door in between 2 bases', 'Well done, have a good rest of the day!']	['door in between 2 bases']
data/full_data.csv	description	['it looks  like a paper  bird looking down']	['it looks like a paper bird looking down']
data/full_data.csv	description	['small square on top', 'white m shape underneath?', 'even m on bottom', 'cool', 'yeah thats the one']	['small square on top', 'white m shape underneath?', 'even m on bottom', 'yeah thats the one']
data/full_data.csv	description	yeah me too!!!  A bit like a hook or a question mark......	A bit like a hook or a question mark......
data/full_data.csv	description	['what does it look lkike', 'It looks like a lamp with a weird top']	['It looks like a lamp with a weird top']
data/full_data.csv	description	['what is your description?', 'squiggly up arrow']	['squiggly up arrow']
data/full_data.csv	description	['ding dong out']	[]
data/full_data.csv	description	['I see what you mean now haha', 'A square with a six sided shape cut out in the middle']	['A square with a six sided shape cut out in the middle']
data/full_data.csv	description	['whats the description?', 'dog  head pointing up to the right']	['dog head pointing up to the right']
data/full_data.csv	description	['an arrow pointing down to the lower left corner :)']	['an arrow pointing down to the lower left corner']
data/full_data.csv	description	a mountain range or pyramids skyline,     2 point bits facing / sinking underground	a mountain range or pyramids skyline, 2 point bits facing / sinking underground
data/full_data.csv	description	"question mark without the ""."""	question mark without the
data/full_data.csv	description	['This is hard, it kinda looks like a knife facing the right', 'kinda like a box cutter']	['it kinda looks like a knife facing the right', 'kinda like a box cutter']
data/full_data.csv	description	['which one']	[]
data/full_data.csv	description	['.', 'a man walking to the left']	['a man walking to the left']
